X,Y,OBJECTID,CODE,STATE,ADMIN_NAME,GEO_ZONE,AREA_SQKM,POP_2016,CENTER_Y,CENTER_X,CASES,DEATHS,RECOVERED,ACTIVE,NEW_CASES,NEW_DEATH,NEW_DISCHARGED,SCREENED
7.523189982,5.453302119,1,NG001,Abia,Abia State,South East,4858.88,3644714,5.453302119,7.523189982,1134,11,1014,109,5,0,0,14627
12.40024078,9.323227332,2,NG002,Adamawa,Adamawa State,North East,37924.99,4145684,9.323227332,12.40024078,540,26,238,276,0,0,0,8733
7.846394928,4.907245026,3,NG003,Akwa Ibom,Akwa Ibom State,South South,6723.2,5353609,4.907245026,7.846394928,667,9,422,236,52,0,23,7312
6.932186089,6.222775877,4,NG004,Anambra,Anambra State,South East,4807.93,5425334,6.222775877,6.932186089,515,20,334,161,2,0,0,11890
9.990588234,10.79664717,5,NG005,Bauchi,Bauchi State,North East,48496.4,6386388,10.79664717,9.990588234,1107,17,964,126,0,0,0,13917
6.08041884,4.766315328,6,NG006,Bayelsa,Bayelsa State,South South,9546.42,2228965,4.766315328,6.08041884,608,23,539,46,0,0,0,10268
8.751907951,7.341086058,7,NG007,Benue,Benue State,North Central,31462.23,5568946,7.341086058,8.751907951,657,17,513,127,4,1,0,9881
13.09877091,11.86524255,8,NG008,Borno,Borno State,North East,75949.95,5669054,11.86524255,13.09877091,865,36,738,91,6,0,0,15625
8.59875592,5.845901003,9,NG009,Cross River,Cross River State,South South,21417.61,3780419,5.845901003,8.59875592,169,12,157,0,0,0,0,4321
5.936929598,5.704898235,10,NG010,Delta,Delta State,South South,17113,5502806,5.704898235,5.936929598,2102,52,1737,313,0,0,0,26492
8.016266263,6.262027249,11,NG011,Ebonyi,Ebonyi State,South East,6336.48,2819675,6.262027249,8.016266263,1259,30,1072,157,53,0,0,8607
5.93021466,6.633537265,12,NG012,Edo,Edo State,South South,19555.55,4138994,6.633537265,5.93021466,3261,127,2828,306,15,3,9,24745
5.309515527,7.720080404,13,NG013,Ekiti,Ekiti State,South West,5773.24,3174006,7.720080404,5.309515527,473,7,408,58,7,0,0,10265
7.440611163,6.536244896,14,NG014,Enugu,Enugu State,South East,7635.72,4299281,6.536244896,7.440611163,1583,21,1375,187,0,0,0,13504
7.195557236,8.897617232,15,NG015,FCT,Federal Capital Territory,North Central,7388.14,2996670,8.897617232,7.195557236,14598,118,10686,3794,54,7,2841,146154
11.19199514,10.38358785,16,NG016,Gombe,Gombe State,North East,17438,3160494,10.38358785,11.19199514,1489,41,1251,197,0,0,0,30028
7.062307591,5.573020021,17,NG017,Imo,Imo State,South East,5075.46,5283288,5.573020021,7.062307591,857,16,770,71,16,0,0,20531
9.563558283,12.23842042,18,NG018,Jigawa,Jigawa State,North West,23201.55,5690516,12.23842042,9.563558283,425,11,383,31,0,0,0,5420
7.705978606,10.39236691,19,NG019,Kaduna,Kaduna State,North West,44146.82,8007205,10.39236691,7.705978606,6178,55,5732,391,57,0,56,45756
8.529557183,11.74520194,20,NG020,Kano,Kano State,North West,20310.4,12706778,11.74520194,8.529557183,2591,70,2187,334,14,0,14,67321
7.628834204,12.37830071,21,NG021,Katsina,Katsina State,North West,23957.92,7645575,12.37830071,7.628834204,1723,27,1644,52,0,0,0,30016
4.51668667,11.74395642,22,NG022,Kebbi,Kebbi State,North West,36788.02,4311454,11.74395642,4.51668667,251,13,203,35,3,0,0,4674
6.686754337,7.736607886,23,NG023,Kogi,Kogi State,North Central,28925.88,4327246,7.736607886,6.686754337,5,2,3,0,0,0,0,1958
4.385168584,8.965933764,24,NG024,Kwara,Kwara State,North Central,33838.42,3129582,8.965933764,4.385168584,1566,32,1335,199,0,0,0,12777
3.586974902,6.52242433,25,NG025,Lagos,Lagos State,South West,3701.45,12102238,6.52242433,3.586974902,40624,271,32007,8346,901,2,717,262774
8.19796222,8.510446426,26,NG026,Nasarawa,Nasarawa State,North Central,26750.46,2459321,8.510446426,8.19796222,1301,13,325,963,32,0,0,12939
5.590434858,9.933226341,27,NG027,Niger,Niger State,North Central,72143.47,5394631,9.933226341,5.590434858,547,14,400,133,0,0,0,11966
3.473261779,6.995135101,28,NG028,Ogun,Ogun State,South West,16810.67,5048351,6.995135101,3.473261779,2859,37,2477,345,28,0,13,50345
5.150609212,6.917995343,29,NG029,Ondo,Ondo State,South West,15132.2,4541779,6.917995343,5.150609212,2070,42,1809,219,0,0,0,14377
4.51776227,7.562918519,30,NG030,Osun,Osun State,South West,8644.3,4596693,7.562918519,4.51776227,1215,27,1023,165,29,1,10,9183
3.612911627,8.158826811,31,NG031,Oyo,Oyo State,South West,27824.83,7636122,8.158826811,3.612911627,4695,68,4054,573,16,1,0,37231
9.512049504,9.232416151,32,NG032,Plateau,Plateau State,North Central,26489.78,4088038,9.232416151,9.512049504,6753,47,6051,655,136,0,167,48092
6.918181455,4.845392316,33,NG033,Rivers,Rivers State,South South,10188.8,7081412,4.845392316,6.918181455,4392,73,3619,700,10,0,43,95991
5.318810473,13.03799337,34,NG034,Sokoto,Sokoto State,North West,32257.59,4879641,13.03799337,5.318810473,677,26,460,191,0,0,39,15187
10.78647944,8.023131157,35,NG035,Taraba,Taraba State,North East,58561.23,2984174,8.023131157,10.78647944,258,11,208,39,0,0,0,7416
11.39326601,12.37621509,36,NG036,Yobe,Yobe State,North East,41414.37,3197296,12.37621509,11.39326601,211,8,197,6,4,0,18,6568
6.246534746,12.10150481,37,NG037,Zamfara,Zamfara State,North West,33561.96,4376911,12.10150481,6.246534746,162,5,154,3,0,0,0,4593
,,38,,,,,,,,,,,,,,,,319
