zone,state,lga,sector,ea,hhid,source_cd,source_cd_os,s7q1,s7q2
4. South East,1. Abia,115. UMUAHIA NORTH,1. Urban,670,10001,"1. HOUSEHOLD FARMING, LIVESTOCK OR FISHING",,1. YES,2. Stayed the same
4. South East,1. Abia,115. UMUAHIA NORTH,1. Urban,670,10001,2. NON-FARM FAMILY BUSINESS,,1. YES,3. Reduced
4. South East,1. Abia,115. UMUAHIA NORTH,1. Urban,670,10001,3. WAGE EMPLOYMENT OF HOUSEHOLD MEMBERS,,1. YES,2. Stayed the same
4. South East,1. Abia,115. UMUAHIA NORTH,1. Urban,670,10001,4. REMITTANCES FROM ABROAD,,2. NO,
4. South East,1. Abia,115. UMUAHIA NORTH,1. Urban,670,10001,5. REMITTANCES FROM FAMILY WITHIN THE COUNTRY,,2. NO,
4. South East,1. Abia,115. UMUAHIA NORTH,1. Urban,670,10001,6. ASSISTANCE FROM OTHER NON-FAMILY INDIVIDUALS,,2. NO,
4. South East,1. Abia,115. UMUAHIA NORTH,1. Urban,670,10001,"7. INCOME FROM PROPERTIES, INVESTMENTS OR SAVINGS",,1. YES,2. Stayed the same
4. South East,1. Abia,115. UMUAHIA NORTH,1. Urban,670,10001,8. PENSION,,1. YES,2. Stayed the same
4. South East,1. Abia,115. UMUAHIA NORTH,1. Urban,670,10001,9. ASSISTANCE FROM THE GOVERNMENT,,2. NO,
4. South East,1. Abia,115. UMUAHIA NORTH,1. Urban,670,10001,10. ASSISTANCE FROM NGOS / CHARITABLE ORGANIZATION,,2. NO,
4. South East,1. Abia,115. UMUAHIA NORTH,1. Urban,670,10001,96. OTHER (SPECIFY),,2. NO,
4. South East,1. Abia,115. UMUAHIA NORTH,1. Urban,670,10001,99. TOTAL HOUSEHOLD INCOME,,,3. Reduced
4. South East,1. Abia,115. UMUAHIA NORTH,1. Urban,670,10003,"1. HOUSEHOLD FARMING, LIVESTOCK OR FISHING",,2. NO,
4. South East,1. Abia,115. UMUAHIA NORTH,1. Urban,670,10003,2. NON-FARM FAMILY BUSINESS,,2. NO,
4. South East,1. Abia,115. UMUAHIA NORTH,1. Urban,670,10003,3. WAGE EMPLOYMENT OF HOUSEHOLD MEMBERS,,1. YES,1. Increased
4. South East,1. Abia,115. UMUAHIA NORTH,1. Urban,670,10003,4. REMITTANCES FROM ABROAD,,2. NO,
4. South East,1. Abia,115. UMUAHIA NORTH,1. Urban,670,10003,5. REMITTANCES FROM FAMILY WITHIN THE COUNTRY,,2. NO,
4. South East,1. Abia,115. UMUAHIA NORTH,1. Urban,670,10003,6. ASSISTANCE FROM OTHER NON-FAMILY INDIVIDUALS,,2. NO,
4. South East,1. Abia,115. UMUAHIA NORTH,1. Urban,670,10003,"7. INCOME FROM PROPERTIES, INVESTMENTS OR SAVINGS",,1. YES,1. Increased
4. South East,1. Abia,115. UMUAHIA NORTH,1. Urban,670,10003,8. PENSION,,1. YES,2. Stayed the same
4. South East,1. Abia,115. UMUAHIA NORTH,1. Urban,670,10003,9. ASSISTANCE FROM THE GOVERNMENT,,2. NO,
