zone,state,lga,sector,ea,hhid,interviewer_id,wt_baseline,s3q1,s3q2__1,s3q2__2,s3q2__3,s3q2__4,s3q2__5,s3q2__6,s3q2__7,s3q2__8,s3q2__9,s3q2__10,s3q3__1,s3q3__2,s3q3__3,s3q3__4,s3q3__5,s3q3__6,s3q3__7,s3q3__8,s3q3__9,s3q3__10,s3q3__96,s3q3__11,s3q3__98,s3q3_os,s3q4,s3q5__1,s3q5__2,s3q5__3,s3q5__4,s3q5__5,s3q5__6,s3q5__96,s3q5_os,s4q1,s4q2,s4q3,s4q4,s5q1a1,s5q1b1,s5q1c1__1,s5q1c1__2,s5q1c1__3,s5q1c1__4,s5q1c1__5,s5q1c1__6,s5q1a2,s5q1b2,s5q1c2__1,s5q1c2__2,s5q1c2__3,s5q1c2__4,s5q1c2__5,s5q1c2__6,s5q1a3,s5q1b3,s5q1c3__1,s5q1c3__2,s5q1c3__3,s5q1c3__4,s5q1c3__5,s5q1c3__6,s5q1a4,s5q1b4,s5q1c4__1,s5q1c4__2,s5q1c4__3,s5q1c4__4,s5q1c4__5,s5q1c4__6,s5q1a5,s5q1b5,s5q1c5__1,s5q1c5__2,s5q1c5__3,s5q1c5__4,s5q1c5__5,s5q1c5__6,s5q1a6,s5q1b6,s5q1c6__1,s5q1c6__2,s5q1c6__3,s5q1c6__4,s5q1c6__5,s5q1c6__6,s5q1a7,s5q1b7,s5q1c7__1,s5q1c7__2,s5q1c7__3,s5q1c7__4,s5q1c7__5,s5q1c7__6,s5q1a8,s5q1b8,s5q1c8__1,s5q1c8__2,s5q1c8__3,s5q1c8__4,s5q1c8__5,s5q1c8__6,s5q2,s5q3,s5q4,s5q4_os,filter1,s5q4a,s5q4b,s5q5__1,s5q5__2,s5q5__3,s5q5__4,s5q5__5,s5q5__6,s5q5__7,s5q5__96,s5q5_os,s5q6,s5q7__1,s5q7__2,s5q7__3,s5q7__4,s5q7__5,s5q7__6,s5q7__7,s5q8,s5q9,s5q10,s5q10_os,s6q1,s6q2,s6q3,s6q3_os,s6q4,s6q5,s6q6,s6q7,s6q8,s6q8a,s6q8a_os,s6q9,s6q10_1,s6q10_2,s6q10_3,s6q10_4,s6q10_5,s6q10_6,s6q11,s6q12,s6q13,s6q14,s6q14_os,s6q15,s6q16,s6q17__1,s6q17__2,s6q17__3,s6q17__4,s6q17__5,s6q17__6,s6q17__96,s6q17_os,s8q4,s8q6,s8q8,s9q1,s9q2,s12q3__0,s12q3__1,s12q3__2,s12q3__3,s12q3__4,s12q3__5,s12q3__6,s12q3__7,s12q4__0,s12q4__1,s12q4__2,s12q4__3,s12q5,s12q9,s12q10,s12q10_os,s12q11,s12q14
4. South East,1. Abia,115. UMUAHIA NORTH,1. Urban,670,10001,2,30902.154632391863,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,0,0,0,0,0,1,0,0,0,0,1,0,0,sharing of palliatives,2. NO,1,0,0,0,0,0,1,inadequate distribution money n food,1. YES,1. YES,1. YES,1. YES,2. NO,,,,,,,,2. NO,,,,,,,,2. NO,,,,,,,,2. NO,,,,,,,,1. YES,1. YES,,,,,,,2. NO,,,,,,,,1. YES,1. YES,,,,,,,2. NO,,,,,,,,2. NO,,,,1. YES,1. YES,1. YES,1,0,1,1,1,0,0,0,,2. NO,,,,,,,,1. YES,2. NO,1. BANK/MONEY AGENT WAS CLOSED,,1. YES,,,,,"9. PERSONAL SERVICES, EDUCATION, HEALTH, CULTURE, SPORT, DOMESTIC WORK, OTHER",1. In your own non-farm business,,,,,1. YES,2,,,,,,,"9. PERSONAL SERVICES, EDUCATION, HEALTH, CULTURE, SPORT, DOMESTIC WORK, OTHER",3. Less,1. USUAL PLACE OF BUSINESS CLOSED DUE TO CORONAVIRUS LEGAL RESTRICTIONS,,1. YES,2. NO,0,0,1,0,0,0,0,,2. NO,1. YES,2. NO,1. Very worried,2. A moderate threat,1,0,0,0,0,0,0,0,0,0,0,1,1. COMPLETE,1,5. IGBO,,0,2020-04-23T20:14:39
4. South East,1. Abia,115. UMUAHIA NORTH,1. Urban,670,10003,6,27391.43837376995,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,1,1,0,0,0,1,0,0,0,0,0,0,0,,1. YES,,,,,,,,,1. YES,1. YES,1. YES,1. YES,2. NO,,,,,,,,2. NO,,,,,,,,2. NO,,,,,,,,2. NO,,,,,,,,2. NO,,,,,,,,2. NO,,,,,,,,2. NO,,,,,,,,2. NO,,,,,,,,2. NO,,,,1. YES,1. YES,1. YES,0,0,0,1,0,1,0,0,,2. NO,,,,,,,,1. YES,1. YES,,,2. NO,2. NO,,,,,,,,,,1. YES,2,,,,,,2. NO,,,,,2. NO,,,,,,,,,,2. NO,2. NO,2. NO,1. Very worried,1. A substantial threat,1,0,0,0,0,0,0,0,0,1,0,0,1. COMPLETE,1,1. ENGLISH,,0,2020-04-29T19:23:07
4. South East,1. Abia,105. IKWUANO,2. Rural,0,10009,20,28421.63926521346,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,1,0,1,0,0,1,0,1,0,0,1,0,0,WEARING FACE MASK COMPULSORY,2. NO,0,0,0,0,0,1,0,,1. YES,1. YES,2. NO,1. YES,2. NO,,,,,,,,2. NO,,,,,,,,2. NO,,,,,,,,2. NO,,,,,,,,2. NO,,,,,,,,2. NO,,,,,,,,2. NO,,,,,,,,2. NO,,,,,,,,2. NO,,,,1. YES,1. YES,1. YES,1,0,1,0,1,1,0,0,,2. NO,,,,,,,,1. YES,1. YES,,,1. YES,,,,,8. PUBLIC ADMINISTRATION,5. As an employee for the government,1. YES,,,,2. NO,,,,,,,1. YES,"5. BUYING & SELLING GOODS, REPAIR OF GOODS, HOTELS & RESTAURANTS",1. Higher,,,1. YES,1. YES,,,,,,,,,2. NO,2. NO,2. NO,2. Somewhat worried,2. A moderate threat,1,0,0,0,0,0,0,0,0,1,0,0,1. COMPLETE,2,1. ENGLISH,,1,2020-05-06T12:33:57
4. South East,1. Abia,115. UMUAHIA NORTH,1. Urban,670,10010,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5. NOBODY ANSWERING,,,,,2020-05-11T17:44:18
4. South East,1. Abia,111. OSISIOMA NORTH,1. Urban,1146,10034,15,8231.460285510362,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,0,1,0,0,0,0,0,1,0,0,0,0,0,,1. YES,,,,,,,,,1. YES,1. YES,1. YES,2. NO,2. NO,,,,,,,,2. NO,,,,,,,,2. NO,,,,,,,,2. NO,,,,,,,,2. NO,,,,,,,,2. NO,,,,,,,,2. NO,,,,,,,,2. NO,,,,,,,,2. NO,,,,1. YES,1. YES,1. YES,0,0,0,0,1,0,0,0,,2. NO,,,,,,,,1. YES,1. YES,,,1. YES,,,,,"1. AGRICULTURE, HUNTING, FISHING","3. In a family farm, raising family  livestock, or fishing",,,,,2. NO,,,,,,,2. NO,,,,,,2. NO,0,0,1,0,0,0,0,,1. YES,2. NO,2. NO,1. Very worried,1. A substantial threat,1,0,0,0,0,0,0,0,1,0,0,0,1. COMPLETE,2,5. IGBO,,0,2020-05-06T11:17:22
4. South East,1. Abia,111. OSISIOMA NORTH,1. Urban,1146,10035,2,9968.96875538091,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,2. NO,2. NO,1. YES,2. NO,1. YES,0,1,1,0,0,0,0,1,0,0,0,0,0,,1. YES,,,,,,,,,1. YES,2. NO,2. NO,2. NO,2. NO,,,,,,,,2. NO,,,,,,,,1. YES,1. YES,,,,,,,1. YES,1. YES,,,,,,,2. NO,,,,,,,,1. YES,2. NO,0,0,0,0,0,1,1. YES,2. NO,0,0,0,0,0,1,2. NO,,,,,,,,2. NO,,,,2. NO,,,,,,,,,,,,,,,,,,,,1. YES,2. NO,96. OTHER (SPECIFY),charges are much for pos,2. NO,1. YES,1. BUSINESS / OFFICE CLOSED DUE TO  CORONAVIRUS LEGAL RESTRICTIONS,,"5. BUYING &amp; SELLING GOODS, REPAIR OF GOODS, HOTELS &amp; RESTAURANTS",,,,,,,1. YES,6,,,,,,1. YES,"5. BUYING & SELLING GOODS, REPAIR OF GOODS, HOTELS & RESTAURANTS",3. Less,1. USUAL PLACE OF BUSINESS CLOSED DUE TO CORONAVIRUS LEGAL RESTRICTIONS,,2. NO,,,,,,,,,,1. YES,1. YES,1. YES,4. Not worried at all,2. A moderate threat,1,0,0,0,0,0,0,0,1,0,0,0,1. COMPLETE,1,5. IGBO,,0,2020-05-04T14:44:24
4. South East,1. Abia,111. OSISIOMA NORTH,1. Urban,1146,10038,2,9204.789871546516,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,0,1,0,0,0,0,0,1,0,0,0,0,0,,2. NO,1,0,0,0,0,0,0,,1. YES,1. YES,1. YES,2. NO,1. YES,1. YES,,,,,,,1. YES,1. YES,,,,,,,1. YES,1. YES,,,,,,,1. YES,1. YES,,,,,,,1. YES,1. YES,,,,,,,1. YES,1. YES,,,,,,,1. YES,1. YES,,,,,,,2. NO,,,,,,,,2. NO,,,,1. YES,1. YES,1. YES,0,0,0,0,1,0,0,0,,2. NO,,,,,,,,1. YES,1. YES,,,2. NO,1. YES,1. BUSINESS / OFFICE CLOSED DUE TO  CORONAVIRUS LEGAL RESTRICTIONS,,"6. TRANSPORT, DRIVING, POST, TRAVEL AGENCIES",,,,,,,2. NO,,,,,,,2. NO,,,,,1. YES,1. YES,,,,,,,,,1. YES,1. YES,1. YES,3. Not too worried,1. A substantial threat,1,0,0,0,0,0,0,0,1,0,0,0,1. COMPLETE,1,5. IGBO,,2,2020-05-04T17:57:19
4. South East,1. Abia,111. OSISIOMA NORTH,1. Urban,1146,10040,15,11864.542778186498,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,0,0,1,0,0,1,0,1,1,0,0,0,0,,1. YES,,,,,,,,,1. YES,1. YES,1. YES,1. YES,2. NO,,,,,,,,2. NO,,,,,,,,2. NO,,,,,,,,2. NO,,,,,,,,2. NO,,,,,,,,2. NO,,,,,,,,2. NO,,,,,,,,2. NO,,,,,,,,2. NO,,,,2. NO,,,,,,,,,,,,,,,,,,,,1. YES,1. YES,,,2. NO,1. YES,1. BUSINESS / OFFICE CLOSED DUE TO  CORONAVIRUS LEGAL RESTRICTIONS,,"2. MINING, MANUFACTURING",,,,,,,2. NO,,,,,,,2. NO,,,,,1. YES,2. NO,0,0,1,0,0,0,0,,1. YES,2. NO,2. NO,2. Somewhat worried,1. A substantial threat,1,0,0,0,0,0,0,0,1,0,0,0,1. COMPLETE,1,1. ENGLISH,,0,2020-04-24T16:04:17
4. South East,1. Abia,102. ABA SOUTH,1. Urban,1690,10053,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9. REFERENCE PERSON CAN'T CONNECT TO HH,,,,,2020-05-03T12:11:51
4. South East,1. Abia,102. ABA SOUTH,1. Urban,1690,10054,2,7967.449926852103,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,2. NO,0,0,0,0,0,0,0,1,0,0,0,0,0,,2. NO,0,1,1,0,0,0,0,,1. YES,1. YES,1. YES,1. YES,2. NO,,,,,,,,2. NO,,,,,,,,1. YES,1. YES,,,,,,,2. NO,,,,,,,,2. NO,,,,,,,,1. YES,1. YES,,,,,,,2. NO,,,,,,,,2. NO,,,,,,,,2. NO,,,,1. YES,1. YES,2. NO,,,,,,,,,,2. NO,,,,,,,,1. YES,2. NO,2. NO MONEY IN ATM,,2. NO,1. YES,3. LAYED OFF WHILE BUSINESS CONTINUES,,"9. PERSONAL SERVICES, EDUCATION, HEALTH, CULTURE, SPORT, DOMESTIC WORK, OTHER",,,,,,,2. NO,,,,,,,2. NO,,,,,1. YES,2. NO,1,0,0,0,0,0,0,,1. YES,1. YES,2. NO,1. Very worried,1. A substantial threat,1,0,0,0,0,0,0,0,1,0,0,0,1. COMPLETE,2,5. IGBO,,0,2020-04-28T21:08:11
