zone,state,lga,sector,ea,hhid,shock_cd,shock_cd_os,s10q1,s10q3__1,s10q3__6,s10q3__7,s10q3__8,s10q3__9,s10q3__11,s10q3__12,s10q3__13,s10q3__14,s10q3__15,s10q3__16,s10q3__17,s10q3__18,s10q3__19,s10q3__20,s10q3__21,s10q3__96,s10q3_os
4. South East,1. Abia,115. UMUAHIA NORTH,1. Urban,670,10001,"1. Illness, injury, or death of income earning member of household",,2. NO,,,,,,,,,,,,,,,,,,
4. South East,1. Abia,115. UMUAHIA NORTH,1. Urban,670,10001,5. Job loss,,2. NO,,,,,,,,,,,,,,,,,,
4. South East,1. Abia,115. UMUAHIA NORTH,1. Urban,670,10001,6. Nonfarm business closure,,1. YES,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,
4. South East,1. Abia,115. UMUAHIA NORTH,1. Urban,670,10001,7. Theft/looting of cash and other property,,2. NO,,,,,,,,,,,,,,,,,,
4. South East,1. Abia,115. UMUAHIA NORTH,1. Urban,670,10001,"8. Disruption of farming, livestock, fishing activities",,2. NO,,,,,,,,,,,,,,,,,,
4. South East,1. Abia,115. UMUAHIA NORTH,1. Urban,670,10001,10. Increase in price of farming/business inputs,,2. NO,,,,,,,,,,,,,,,,,,
4. South East,1. Abia,115. UMUAHIA NORTH,1. Urban,670,10001,11. Fall in the price of farming/business output,,2. NO,,,,,,,,,,,,,,,,,,
4. South East,1. Abia,115. UMUAHIA NORTH,1. Urban,670,10001,12. Increase in price of major food items consumed,,1. YES,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,
4. South East,1. Abia,115. UMUAHIA NORTH,1. Urban,670,10001,96. Other (Specify),,2. NO,,,,,,,,,,,,,,,,,,
4. South East,1. Abia,105. IKWUANO,2. Rural,0,10009,"1. Illness, injury, or death of income earning member of household",,2. NO,,,,,,,,,,,,,,,,,,
4. South East,1. Abia,105. IKWUANO,2. Rural,0,10009,5. Job loss,,2. NO,,,,,,,,,,,,,,,,,,
4. South East,1. Abia,105. IKWUANO,2. Rural,0,10009,6. Nonfarm business closure,,1. YES,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,
4. South East,1. Abia,105. IKWUANO,2. Rural,0,10009,7. Theft/looting of cash and other property,,2. NO,,,,,,,,,,,,,,,,,,
4. South East,1. Abia,105. IKWUANO,2. Rural,0,10009,"8. Disruption of farming, livestock, fishing activities",,2. NO,,,,,,,,,,,,,,,,,,
4. South East,1. Abia,105. IKWUANO,2. Rural,0,10009,10. Increase in price of farming/business inputs,,1. YES,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,
4. South East,1. Abia,105. IKWUANO,2. Rural,0,10009,11. Fall in the price of farming/business output,,2. NO,,,,,,,,,,,,,,,,,,
4. South East,1. Abia,105. IKWUANO,2. Rural,0,10009,12. Increase in price of major food items consumed,,1. YES,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,
4. South East,1. Abia,105. IKWUANO,2. Rural,0,10009,96. Other (Specify),,2. NO,,,,,,,,,,,,,,,,,,
4. South East,1. Abia,111. OSISIOMA NORTH,1. Urban,1146,10034,"1. Illness, injury, or death of income earning member of household",,2. NO,,,,,,,,,,,,,,,,,,
4. South East,1. Abia,111. OSISIOMA NORTH,1. Urban,1146,10034,5. Job loss,,2. NO,,,,,,,,,,,,,,,,,,
4. South East,1. Abia,111. OSISIOMA NORTH,1. Urban,1146,10034,6. Nonfarm business closure,,1. YES,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
4. South East,1. Abia,111. OSISIOMA NORTH,1. Urban,1146,10034,7. Theft/looting of cash and other property,,2. NO,,,,,,,,,,,,,,,,,,
4. South East,1. Abia,111. OSISIOMA NORTH,1. Urban,1146,10034,"8. Disruption of farming, livestock, fishing activities",,1. YES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Removed the destructive ones and purchase needed ones in the market
4. South East,1. Abia,111. OSISIOMA NORTH,1. Urban,1146,10034,10. Increase in price of farming/business inputs,,1. YES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Purchase little quantity
4. South East,1. Abia,111. OSISIOMA NORTH,1. Urban,1146,10034,11. Fall in the price of farming/business output,,2. NO,,,,,,,,,,,,,,,,,,
4. South East,1. Abia,111. OSISIOMA NORTH,1. Urban,1146,10034,12. Increase in price of major food items consumed,,1. YES,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,
4. South East,1. Abia,111. OSISIOMA NORTH,1. Urban,1146,10034,96. Other (Specify),,2. NO,,,,,,,,,,,,,,,,,,
4. South East,1. Abia,111. OSISIOMA NORTH,1. Urban,1146,10035,"1. Illness, injury, or death of income earning member of household",,1. YES,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
4. South East,1. Abia,111. OSISIOMA NORTH,1. Urban,1146,10035,5. Job loss,,1. YES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,
4. South East,1. Abia,111. OSISIOMA NORTH,1. Urban,1146,10035,6. Nonfarm business closure,,1. YES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,
4. South East,1. Abia,111. OSISIOMA NORTH,1. Urban,1146,10035,7. Theft/looting of cash and other property,,1. YES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,
4. South East,1. Abia,111. OSISIOMA NORTH,1. Urban,1146,10035,"8. Disruption of farming, livestock, fishing activities",,1. YES,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
4. South East,1. Abia,111. OSISIOMA NORTH,1. Urban,1146,10035,10. Increase in price of farming/business inputs,,1. YES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,
4. South East,1. Abia,111. OSISIOMA NORTH,1. Urban,1146,10035,11. Fall in the price of farming/business output,,1. YES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,tried borrowing money but didnt succeed
4. South East,1. Abia,111. OSISIOMA NORTH,1. Urban,1146,10035,12. Increase in price of major food items consumed,,1. YES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,
4. South East,1. Abia,111. OSISIOMA NORTH,1. Urban,1146,10035,96. Other (Specify),,2. NO,,,,,,,,,,,,,,,,,,
4. South East,1. Abia,111. OSISIOMA NORTH,1. Urban,1146,10038,"1. Illness, injury, or death of income earning member of household",,2. NO,,,,,,,,,,,,,,,,,,
