zone,state,lga,sector,ea,hhid,interviewer_id,wt_round3,wt_r3panel,s2q0a,s2q0b,s5q1a4,s5q1b4,s5q1c4__1,s5q1c4__2,s5q1c4__3,s5q1c4__4,s5q1c4__5,s5q1c4__6,s5q1a5,s5q1b5,s5q1c5__1,s5q1c5__2,s5q1c5__3,s5q1c5__4,s5q1c5__5,s5q1c5__6,s5q1a6,s5q1b6,s5q1c6__1,s5q1c6__2,s5q1c6__3,s5q1c6__4,s5q1c6__5,s5q1c6__6,s5q1a7,s5q1b7,s5q1c7__1,s5q1c7__2,s5q1c7__3,s5q1c7__4,s5q1c7__5,s5q1c7__6,s5q1a8,s5q1b8,s5q1c8__1,s5q1c8__2,s5q1c8__3,s5q1c8__4,s5q1c8__5,s5q1c8__6,s5q1c,s5q1d,s5q1e,s5q2,s5q3,s5q4,s5q4_os,filter2,s5q3a,s5q3b,s5q3c__1,s5q3c__2,s5q3c__3,s5q3c__4,s5q3c__5,s5q3c__6,s5q3c__96,s5q3c_os,s5q3d,s5q3e,s5q3f__1,s5q3f__2,s5q3f__3,s5q3f__4,s5q3f__96,s5q3f_os,filter1,s5q4b,s5q5__1,s5q5__2,s5q5__3,s5q5__4,s5q5__5,s5q5__6,s5q5__7,s5q5__96,s5q5_os,s5q11,s5q12,s5q13__1,s5q13__2,s5q13__3,s5q13__4,s5q13__96,s5q13_os,s5q13a,s5q13b__1,s5q13b__2,s5q13b__3,s5q13b__96,s5q13b_os,s5q14,s5q15,s5q16,s5q17__1,s5q17__2,s5q17__3,s5aq1,s5aq2,s5aq2_os,s5aq3__1,s5aq3__2,s5aq3__3,s5aq3__4,s5aq3__5,s5aq3__6,s5aq3__7,s5aq3__8,s5aq3__9,s5aq3__10,s5aq3__11,s5aq3__12,s5aq3__96,s5aq3_os,s5aq4,s5aq5,s5aq6a,s5aq6b,s5aq7__1,s5aq7__2,s5aq7__3,s5aq7__4,s5aq7__96,s5aq7_os,emp_case,s6q1,s6q1a,s6q1b,s6q1c,s6q1c_os,s6q3,s6q3_os,s6q3a,s6q3b,s6q3b_os,s6q4a,s6q4b,s6q4b_os,s6q5,s6q6,s6q7,s6q8,s6q8a,s6q8a_os,s6q8b,s6q8c,s6q8f__1,s6q8f__2,s6q8f__3,s6q8f__4,s6q8f__5,s6q8f__6,s6q8f__7,s6q8f__8,s6q8f__96,s6q8f_os,s6q8g,s6q9,s6q10_1,s6q10_2,s6q10_3,s6q10_4,s6q10_5,s6q10_6,s6q10_7,s6q10_8,s6q10_9,nfe_case,s6q11,s6q11a,s6q11b,s6q11b_os,s6q11c,s6q12,s6q13,s6q14,s6q14_os,s6q15a,s6q15b,s6q16a,s6aq1,s6aq1b,s6q2a,s6q2b,s6q2c,s6q2d,s6q2e,s6aq3a,s6aq4__1,s6aq4__2,s6aq4__3,s6aq4__4,s6aq4__5,s6aq4__6,s6aq4__96,s6aq4_os,s6aq3b,s6aq5__1,s6aq5__2,s6aq5__3,s6aq5__4,s6aq5__5,s6aq5__6,s6aq5__96,s6aq5_os,s6aq3c,s6aq6__1,s6aq6__2,s6aq6__3,s6aq6__4,s6aq6__5,s6aq6__6,s6aq6__96,s6aq6_os,s6aq3d,s6aq7__1,s6aq7__2,s6aq7__3,s6aq7__4,s6aq7__5,s6aq7__96,s6aq7_os,s6aq3e,s6aq8__1,s6aq8__2,s6aq8__3,s6aq8__4,s6aq8__5,s6aq8__96,s6aq8_os,s12q3__0,s12q3__1,s12q3__2,s12q3__3,s12q3__4,s12q3__5,s12q3__6,s12q3__7,s12q4__0,s12q4__1,s12q4__2,s12q4__3,filter,s12q4a,s12q4b,s12q5,s12q9,s12q10,s12q10_os,s12q10a,s12q11,s12q14
4. South East,1. Abia,115. UMUAHIA NORTH,1. Urban,670,10001,2,30279.911766218986,31960.64340181279,2. NO,2. NO,2. NO,,,,,,,,1. YES,1. YES,,,,,,,1. YES,1. YES,,,,,,,1. YES,1. YES,,,,,,,2. NO,,,,,,,,1. All of the time,1. All of the time,1. ONE,1. YES,1. YES,,,1. YES,2. NO,,,,,,,,,,1. YES,1. YES,,,,,,,1. YES,1. YES,1,0,0,0,1,1,1,0,,1. YES,2. NO,0,0,0,0,1,dueto nature of estate keke hardly come there.,,,,,,,2. NO,,,,,,2. NO,,,,,,,,,,,,,,,,,1. OWN,,,,,,,,,,1. RESPONDENT WAS WORKING AT THE TIME OF ROUND 2 INTERVIEW,1. YES,,,,,,,,,,1. YES,,,"9. PERSONAL SERVICES, EDUCATION, HEALTH, CULTURE, SPORT, DOMESTIC WORK, OTHER",1. In your own non-farm business,,,,,,,,,,,,,,,,,,1. YES,2,,,,,,,,,4. RESPONDENT WORKED IN NFE LAST WEEK AND NFE WAS OPERATING AT ROUND 2,,1. Open,,,Has a laboratory shop/office,"9. PERSONAL SERVICES, EDUCATION, HEALTH, CULTURE, SPORT, DOMESTIC WORK, OTHER",1. Higher,,,2. NO,,1. YES,,1,2. NO,2. NO,2. NO,1. YES,2. NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,1. YES,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,1,1. YES,,,1. COMPLETE,1,1. ENGLISH,,,0,2020-07-11T12:14:31
4. South East,1. Abia,115. UMUAHIA NORTH,1. Urban,670,10003,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1. YES,,,3. REFUSED,,,,,,2020-07-19T20:02:51
4. South East,1. Abia,105. IKWUANO,2. Rural,0,10009,20,27384.075999124234,30526.544236624868,2. NO,2. NO,1. YES,1. YES,,,,,,,2. NO,,,,,,,,2. NO,,,,,,,,1. YES,1. YES,,,,,,,2. NO,,,,,,,,4. Some of the time,4. Some of the time,1. ONE,2. NO,,,,1. YES,2. NO,,,,,,,,,,1. YES,1. YES,,,,,,,1. YES,1. YES,0,0,0,0,1,0,1,0,,2. NO,,,,,,,,,,,,,,2. NO,,,,,,2. NO,,,,,,,,,,,,,,,,,2. RENTED,2. WITHIN ONE MONTH,,1. YES,,,,,,,1. RESPONDENT WAS WORKING AT THE TIME OF ROUND 2 INTERVIEW,1. YES,,,,,,,,,,1. YES,,,"1. AGRICULTURE, HUNTING, FISHING","3. In a family farm, growing crops, raising livestock, or fishing",,,,,,,,,,,,,,,,,,2. NO,,,,,,,,,,1. NFE TEMPORARILY CLOSED AT LAST INTERVIEW,,2. Temporarily closed,5. CAN'T TRAVEL / TRANSPORT GOODS FOR TRADE,,Selling materials,"5. BUYING &amp; SELLING GOODS, REPAIR OF GOODS, HOTELS &amp; RESTAURANTS",,,,2. NO,,1. YES,,2,1. YES,1. YES,1. YES,1. YES,2. NO,1. YES,,,,,,,,,1. YES,,,,,,,,,1. YES,,,,,,,,,1. YES,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,1,0,0,0,1. YES,,,1. COMPLETE,2,1. ENGLISH,,,0,2020-07-10T09:02:55
4. South East,1. Abia,111. OSISIOMA NORTH,1. Urban,1146,10034,15,7857.438082370649,8096.7065071058205,2. NO,2. NO,2. NO,,,,,,,,1. YES,2. NO,0,0,0,0,1,0,1. YES,1. YES,,,,,,,1. YES,2. NO,0,0,0,0,0,1,2. NO,,,,,,,,1. All of the time,1. All of the time,2. TWO,2. NO,,,,2. NO,,,,,,,,,,,1. YES,1. YES,,,,,,,1. YES,2. NO,,,,,,,,,,1. YES,1. YES,,,,,,,1. YES,0,0,1,1,Increased capacity/seats,1. YES,1. OFFICIAL/BUSINESS,2. PRIVATE TRANSPORT,1,0,0,2. NO,,,,,,,,,,,,,,,,,3. OCCUPIED FREE OF CHARGE,,,,,,,,,,1. RESPONDENT WAS WORKING AT THE TIME OF ROUND 2 INTERVIEW,1. YES,,,,,,,,,,1. YES,,,"1. AGRICULTURE, HUNTING, FISHING","3. In a family farm, growing crops, raising livestock, or fishing",,,,,,,,,,,,,,,,,,2. NO,,,,,,,,,,3. NFE WAS NOT OPERATING OR PERMANENTLY CLOSED AT ROUND 2,1. YES,2. Temporarily closed,5. CAN'T TRAVEL / TRANSPORT GOODS FOR TRADE,,Selling yam,"5. BUYING &amp; SELLING GOODS, REPAIR OF GOODS, HOTELS &amp; RESTAURANTS",,,,2. NO,,1. YES,,2,2. NO,1. YES,2. NO,2. NO,2. NO,,,,,,,,,,1. YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,1,0,0,0,1. YES,,,1. COMPLETE,2,5. IGBO,,,0,2020-07-15T07:35:02
4. South East,1. Abia,111. OSISIOMA NORTH,1. Urban,1146,10035,2,9713.28602245886,9665.066927278265,2. NO,2. NO,1. YES,2. NO,0,0,0,0,0,1,1. YES,1. YES,,,,,,,1. YES,1. YES,,,,,,,1. YES,1. YES,,,,,,,1. YES,2. NO,0,0,0,0,0,1,1. All of the time,1. All of the time,5. FIVE OR MORE,2. NO,,,,2. NO,,,,,,,,,,,1. YES,1. YES,,,,,,,2. NO,,,,,,,,,,,2. NO,,,,,,,,,,,,,,2. NO,,,,,,2. NO,,,,,,,,,,,,,,,,,2. RENTED,4. WITHIN THE NEXT 4 TO 6 MONTHS,,2. NO,1,1,1,1,0,,1. RESPONDENT WAS WORKING AT THE TIME OF ROUND 2 INTERVIEW,2. NO,1. YES,2. WITHIN ONE MONTH,11. NOT ABLE TO FARM DUE TO LACK OF INPUTS,,,,,,,,,,"5. BUYING & SELLING GOODS, REPAIR OF GOODS, HOTELS & RESTAURANTS",,,,,,,,,,,,,,,,,,,1. YES,3,,,,,,,,,2. NFE WAS OPERATING AT ROUND 2,,1. Open,,,buying and selling of provision,"5. BUYING &amp; SELLING GOODS, REPAIR OF GOODS, HOTELS &amp; RESTAURANTS",2. The same,,,2. NO,,"3. NO, MY HOUSEHOLD DOESN'T HAVE A FARM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,1,0,0,1. YES,,,1. COMPLETE,1,5. IGBO,,,0,2020-07-08T08:48:29
4. South East,1. Abia,111. OSISIOMA NORTH,1. Urban,1146,10038,2,10943.934563692384,10877.614846088452,2. NO,2. NO,1. YES,2. NO,0,0,0,0,0,1,1. YES,2. NO,0,0,0,0,0,1,1. YES,2. NO,0,0,0,0,1,0,1. YES,1. YES,,,,,,,2. NO,,,,,,,,1. All of the time,1. All of the time,0. NONE,2. NO,,,,1. YES,2. NO,,,,,,,,,,1. YES,1. YES,,,,,,,1. YES,2. NO,,,,,,,,,,2. NO,,,,,,,,,,,,,,1. YES,2. PERSONAL,2. PRIVATE TRANSPORT,1,0,0,2. NO,,,,,,,,,,,,,,,,,2. RENTED,5. WITHIN THE NEXT 7 TO 12 MONTHS,,2. NO,1,1,1,1,1,january is always bc of alot expenses,1. RESPONDENT WAS WORKING AT THE TIME OF ROUND 2 INTERVIEW,1. YES,,,,,,,,,,1. YES,,,,1. In your own non-farm business,,,,,,,,,,,,,,,,,,2. NO,,,,,,,,,,4. RESPONDENT WORKED IN NFE LAST WEEK AND NFE WAS OPERATING AT ROUND 2,,1. Open,,,keke transpory business,"6. TRANSPORT, DRIVING, POST, TRAVEL AGENCIES",1. Higher,,,2. NO,,1. YES,,2,2. NO,1. YES,2. NO,1. YES,2. NO,,,,,,,,,,1. YES,,,,,,,,,,,,,,,,,,1. YES,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,1,2. NO,3. DECISIONMAKER NOT AVAILABLE FOR INTERVIEW,,1. COMPLETE,1,5. IGBO,,,0,2020-07-07T19:36:40
4. South East,1. Abia,111. OSISIOMA NORTH,1. Urban,1146,10040,16,14170.778062114408,14303.825379673195,2. NO,2. NO,2. NO,,,,,,,,2. NO,,,,,,,,1. YES,1. YES,,,,,,,1. YES,1. YES,,,,,,,2. NO,,,,,,,,1. All of the time,1. All of the time,0. NONE,2. NO,,,,2. NO,,,,,,,,,,,1. YES,1. YES,,,,,,,2. NO,,,,,,,,,,,2. NO,,,,,,,,,,,,,,1. YES,1. OFFICIAL/BUSINESS,2. PRIVATE TRANSPORT,1,1,1,2. NO,,,,,,,,,,,,,,,,,2. RENTED,2. WITHIN ONE MONTH,,1. YES,,,,,,,1. RESPONDENT WAS WORKING AT THE TIME OF ROUND 2 INTERVIEW,1. YES,,,,,,,,,,1. YES,,,"1. AGRICULTURE, HUNTING, FISHING","3. In a family farm, growing crops, raising livestock, or fishing",,,,,,,,,,,,,,,,,,,,,,,,,,,,3. NFE WAS NOT OPERATING OR PERMANENTLY CLOSED AT ROUND 2,2. NO,,,,,,,,,,,1. YES,,1,1. YES,1. YES,1. YES,1. YES,2. NO,1. YES,,,,,,,,,1. YES,,,,,,,,,1. YES,,,,,,,,,1. YES,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,1,0,0,0,1. YES,,,1. COMPLETE,1,1. ENGLISH,,,0,2020-07-09T09:03:36
4. South East,1. Abia,102. ABA SOUTH,1. Urban,1690,10054,2,9371.499389070785,9559.934588464632,2. NO,2. NO,1. YES,1. YES,,,,,,,1. YES,1. YES,,,,,,,1. YES,1. YES,,,,,,,2. NO,,,,,,,,1. YES,1. YES,,,,,,,1. All of the time,1. All of the time,1. ONE,1. YES,1. YES,,,1. YES,2. NO,,,,,,,,,,1. YES,1. YES,,,,,,,1. YES,2. NO,,,,,,,,,,1. YES,1. YES,,,,,,,2. NO,,,,,,2. NO,,,,,,2. NO,,,,,,,,,,,,,,,,,2. RENTED,2. WITHIN ONE MONTH,,2. NO,1,1,1,0,0,,1. RESPONDENT WAS WORKING AT THE TIME OF ROUND 2 INTERVIEW,2. NO,1. YES,5. ONCE RESTRICTIONS ARE LIFTED,6. ILL / QUARANTINED,,,,,,,,,,"1. AGRICULTURE, HUNTING, FISHING",,,,,,,,,,,,,,,,,,,2. NO,,,,,,,,,,1. NFE TEMPORARILY CLOSED AT LAST INTERVIEW,,2. Temporarily closed,1. USUAL PLACE OF BUSINESS CLOSED DUE TO CORONAVIRUS LEGAL RESTRICTIONS,,Selling of ugu,"5. BUYING &amp; SELLING GOODS, REPAIR OF GOODS, HOTELS &amp; RESTAURANTS",,,,2. NO,,1. YES,,1,2. NO,1. YES,1. YES,1. YES,2. NO,,,,,,,,,,1. YES,,,,,,,,,2. NO,0,0,0,0,1,0,0,,2. NO,0,0,0,0,1,0,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,1,2. NO,1. AT THIS NUMBER,,1. COMPLETE,2,1. ENGLISH,,,0,2020-07-10T14:44:42
4. South East,1. Abia,102. ABA SOUTH,1. Urban,1690,10056,2,14591.857685281495,14632.104932364242,2. NO,1. YES,1. YES,1. YES,,,,,,,1. YES,1. YES,,,,,,,1. YES,1. YES,,,,,,,1. YES,2. NO,0,0,0,0,0,1,2. NO,,,,,,,,4. Some of the time,2. Most of the time,0. NONE,1. YES,1. YES,,,1. YES,2. NO,,,,,,,,,,1. YES,1. YES,,,,,,,2. NO,,,,,,,,,,,2. NO,,,,,,,,,,,,,,2. NO,,,,,,2. NO,,,,,,,,,,,,,,,,,2. RENTED,1. RENT ALREADY DUE,3. NO,,1,1,1,0,1,his car is very old and takes more money,2. RESPONDENT WAS NOT WORKING AT THE TIME OF ROUND 2 INTERVIEW,1. YES,,,,,,,,,,,,,"6. TRANSPORT, DRIVING, POST, TRAVEL AGENCIES",1. In your own non-farm business,,,,,,,,,,,,,,,,,,2. NO,,,,,,,,,,4. RESPONDENT WORKED IN NFE LAST WEEK AND NFE WAS OPERATING AT ROUND 2,,1. Open,,,keke driver by the respondent,"6. TRANSPORT, DRIVING, POST, TRAVEL AGENCIES",3. Less,96. OTHER (SPECIFY),keke is very old and takes more money,2. NO,,1. YES,,201,2. NO,1. YES,1. YES,1. YES,2. NO,,,,,,,,,,1. YES,,,,,,,,,1. YES,,,,,,,,,1. YES,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,1,1. YES,,,1. COMPLETE,201,5. IGBO,,,0,2020-07-16T21:34:40
4. South East,1. Abia,102. ABA SOUTH,1. Urban,1690,10057,6,8709.419969384904,8943.405474323325,2. NO,2. NO,1. YES,1. YES,,,,,,,2. NO,,,,,,,,2. NO,,,,,,,,2. NO,,,,,,,,2. NO,,,,,,,,1. All of the time,1. All of the time,1. ONE,2. NO,,,,2. NO,,,,,,,,,,,2. NO,,,,,,,,1. YES,1. YES,0,0,0,0,0,0,1,0,,1. YES,1. YES,,,,,,,2. NO,,,,,,1. YES,2. PERSONAL,1. PUBLIC/COMMERCIAL TRANSPORT,1,0,0,2. NO,,,,,,,,,,,,,,,,,1. OWN,,,,,,,,,,1. RESPONDENT WAS WORKING AT THE TIME OF ROUND 2 INTERVIEW,2. NO,1. YES,1. WITHIN ONE WEEK,96. OTHER (SPECIFY),travelled,,,,,,,,,"5. BUYING & SELLING GOODS, REPAIR OF GOODS, HOTELS & RESTAURANTS",,,,,,,,,,,,,,,,,,,2. NO,,,,,,,,,,2. NFE WAS OPERATING AT ROUND 2,,1. Open,,,sell of palm wine,"5. BUYING &amp; SELLING GOODS, REPAIR OF GOODS, HOTELS &amp; RESTAURANTS",4. No revenue from sales,96. OTHER (SPECIFY),raining sesson,1. YES,2,"3. NO, MY HOUSEHOLD DOESN'T HAVE A FARM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,1,0,0,1. YES,,,1. COMPLETE,2,5. IGBO,,,0,2020-07-08T10:42:21
