zone,state,lga,sector,ea,hhid,interviewer_id,wt_round4,wt_r4panel,s2q0a,s2q0b,s5q1c,s5q1d,s5q1e,filter3,s5q2a,s5q2b,s5q2c__1,s5q2c__2,s5q2c__3,s5q2c__4,s5q2c__5,s5q2c__6,s5q2c__96,s5q2c_os,s5q2d,s5q2e,s5q2f__1,s5q2f__2,s5q2f__3,s5q2f__4,s5q2f__5,s5q2f__6,s5q2f__7,s5q2f__8,s5q2f__9,s5q2f__96,s5q2f_os,s5q2,s5q3,s5q4,s5q4_os,filter1,s5q4b,s5q5__1,s5q5__2,s5q5__3,s5q5__4,s5q5__5,s5q5__6,s5q5__7,s5q5__96,s5q5_os,s5q5b,s5q5c,s5q21,s5q22,s5q23,s5bq1,s5bq2__9,s5bq2__1,s5bq2__2,s5bq2__3,s5bq2__4,s5bq2__5,s5bq2__6,s5bq2__7,s5bq2__8,s5bq2__96,s5bq2_os,s5bq3__1,s5bq3__2,s5bq3__3,s5bq3__4,s5bq3__5,s5bq3__6,s5bq3__7,s5bq3__8,s5bq3__9,s5bq3__10,s5bq3__11,s5bq3__12,s5bq3__13,s5bq3__96,s5bq3_os,s5bq4_1,s5bq4_2,s5bq4_3,s5bq4_4,s5bq5,s5bq6,s5bq7__1,s5bq7__2,s5bq7__3,s5bq7__4,s5bq7__5,s5bq7__6,s5bq7__7,s5bq7__8,s5bq7__9,s5bq7__10,s5bq7__11,s5bq7__12,s5bq7__13,s5bq7__96,s5bq7_os,s5bq8_1,s5bq8_2,s5bq8_3,s5bq9,s5bq10,s5bq11,emp_case,s6q1,s6q1a,s6q1b,s6q1c,s6q1c_os,s6q3,s6q3_os,s6q3a,s6q3b,s6q3b_os,s6q4a,s6q4b,s6q4b_os,s6q5,s6q6,s6q6a,s6q7,s6q8,s6q8a,s6q8a_os,s6q8b,s6q8c,s6q9,s6q10_1,s6q10_2,s6q10_3,s6q10_4,s6q10_5,s6q10_6,s6q10_7,s6q10_8,s6q10_9,nfe_case,s6q11,s6q11a,s6q11b,s6q11b_os,s6q11b1,s6q11c,s6q12,s6q13,s6q14,s6q14_os,crop_filter1,s6q16,s6aq9,s6aq10,s6aq11,s6bq1,s6bq2__1,s6bq2__2,s6bq2__3,s6bq2__4,s6bq2__5,s6bq3,s6bq4__1,s6bq4__3,s6bq4__4,s6bq4__7,s6bq4__96,s6bq4_os,s6bq6,s6bq7,s6bq8,s6bq9,s6bq10,s6bq11,s6bq12,s6bq13,s6bq13_os,s8q1,s8q2,s8q3,s8q4,s8q5,s8q6,s8q7,s8q8,s9q1,s9q3__1,s9q3__2,s9q3__3,s9q3__4,s9q3__5,s9q3__6,s9q3__7,s9q3__8,s9q3__96,s9q3_os,s9q2,s12q3__0,s12q3__1,s12q3__2,s12q3__3,s12q3__4,s12q3__5,s12q3__6,s12q3__7,s12q4__0,s12q4__1,s12q4__2,s12q4__3,s12q5,s12q9,s12q10,s12q10_os,s12q10a,s12q11,s12q14
4. South East,1. Abia,115. UMUAHIA NORTH,1. Urban,670,10001,2,30579.344563376675,32122.56285224797,2. NO,2. NO,1. All of the time,1. All of the time,0. NONE,1. YES,2. NO,,,,,,,,,,2. NO,3. NO,,,,,,,,,,,,1. YES,1. YES,,,1. YES,1. YES,1,1,0,0,1,1,1,0,,2. NO,1. YES,1. YES,2. NO,2. THE SAME,2. NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2. NO,,,,,,,,,,,,,,,,,,,,,,1. RESPONDENT WAS WORKING AT THE TIME OF ROUND 3 INTERVIEW,1. YES,,,,,,,,,,1. YES,,,"9. PERSONAL SERVICES, EDUCATION, HEALTH, CULTURE, SPORT, DOMESTIC WORK, OTHER",1. In your own non-farm business,,,,,,,,1. YES,2,,,,,,,,,2. NFE WAS OPERATING AT ROUND 3,,1. Open,,,,,,1. Higher than in June,,,1. YES,,5. Much lower,2. NO,,2. NO,,,,,,,,,,,,,,,,,,,,,,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,4. Not worried at all,1,0,0,0,0,0,0,0,0,,1. A substantial threat,1,0,0,0,0,0,0,0,0,0,0,1,1. COMPLETE,1,5. IGBO,,,0,2020-08-19T20:47:17
4. South East,1. Abia,105. IKWUANO,2. Rural,0,10009,23,28246.79721041545,31190.044433652478,2. NO,2. NO,4. Some of the time,3. About half of the time,1. ONE,1. YES,2. NO,,,,,,,,,,1. YES,,,,,,,,,,,,,2. NO,,,,1. YES,1. YES,0,0,0,0,1,1,1,0,,1. YES,,1. YES,2. NO,3. HIGHER,2. NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2. NO,,,,,,,,,,,,,,,,,,,,,,1. RESPONDENT WAS WORKING AT THE TIME OF ROUND 3 INTERVIEW,1. YES,,,,,,,,,,1. YES,,,"1. AGRICULTURE, HUNTING, FISHING","3. In a family farm, growing crops, raising livestock, or fishing","3. Some will be sold, some will be consumed by the family",,,,,,,2. NO,,,,,,,,,,1. NFE TEMPORARILY CLOSED AT LAST INTERVIEW,,2. Temporarily closed,3. NO COSTUMERS / FEWER CUSTOMERS,,1. YES,PROJECT ANALYSIS,"7. PROFESSIONAL ACTIVITIES: FINANCE, LEGAL, ANALYSIS, COMPUTER, REAL ESTATE",,,,1. YES,,2. Higher,1. YES,2. Higher,1. YES,0,0,1,0,0,2. NO,,,,,,,2. NO,,2. NO,,,,,,,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. Somewhat worried,,,,,,,,,,,1. A substantial threat,0,0,0,0,1,1,0,0,0,1,1,0,1. COMPLETE,2,1. ENGLISH,,,0,2020-08-13T11:18:30
4. South East,1. Abia,111. OSISIOMA NORTH,1. Urban,1146,10034,15,8186.4723905479495,8305.66531494141,2. NO,2. NO,1. All of the time,1. All of the time,2. TWO,1. YES,2. NO,,,,,,,,,,2. NO,3. NO,,,,,,,,,,,,2. NO,,,,1. YES,,,,,,,,,,,,,1. YES,2. NO,1. LOWER,2. NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2. NO,,,,,,,,,,,,,,,,,,,,,,1. RESPONDENT WAS WORKING AT THE TIME OF ROUND 3 INTERVIEW,1. YES,,,,,,,,,,1. YES,,,"1. AGRICULTURE, HUNTING, FISHING","3. In a family farm, growing crops, raising livestock, or fishing","3. Some will be sold, some will be consumed by the family",,,,,,,2. NO,,,,,,,,,,1. NFE TEMPORARILY CLOSED AT LAST INTERVIEW,,2. Temporarily closed,96. OTHER (SPECIFY),High cost of goods,1. YES,Selling of bed spread,"5. BUYING &amp; SELLING GOODS, REPAIR OF GOODS, HOTELS &amp; RESTAURANTS",,,,1. YES,,5. Much lower,1. YES,5. Much lower,2. NO,,,,,,,,,,,,,,,,,,,,,,1. YES,1. YES,1. YES,1. YES,1. YES,2. NO,1. YES,2. NO,2. Somewhat worried,,,,,,,,,,,2. A moderate threat,1,0,0,0,0,0,0,0,1,0,0,0,1. COMPLETE,2,5. IGBO,,,0,2020-08-12T07:35:38
4. South East,1. Abia,111. OSISIOMA NORTH,1. Urban,1146,10035,2,9901.025677135543,9640.958116499445,2. NO,2. NO,1. All of the time,1. All of the time,1. ONE,1. YES,2. NO,,,,,,,,,,2. NO,3. NO,,,,,,,,,,,,1. YES,1. YES,,,2. NO,,,,,,,,,,,,,2. NO,2. NO,,2. NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2. NO,,,,,,,,,,,,,,,,,,,,,,2. RESPONDENT WAS NOT WORKING AT THE TIME OF ROUND 3 INTERVIEW,1. YES,,,,,,,,,,,,,"1. AGRICULTURE, HUNTING, FISHING","3. In a family farm, growing crops, raising livestock, or fishing",2. Only for family consumption,,,,,,,1. YES,6,,,,,,,,,2. NFE WAS OPERATING AT ROUND 3,,1. Open,,,,,,2. The same as in June,,,2. NO,,,,,2. NO,,,,,,,,,,,,,,,,,,,,,,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,2. NO,4. Not worried at all,0,0,0,0,0,1,0,0,0,,1. A substantial threat,1,0,0,0,0,0,0,0,1,0,0,0,1. COMPLETE,1,5. IGBO,,,0,2020-08-19T18:48:09
4. South East,1. Abia,111. OSISIOMA NORTH,1. Urban,1146,10038,2,10978.716392788629,10985.976566542908,2. NO,2. NO,1. All of the time,1. All of the time,1. ONE,1. YES,2. NO,,,,,,,,,,2. NO,3. NO,,,,,,,,,,,,2. NO,,,,1. YES,2. NO,,,,,,,,,,1. YES,,98. DON'T KNOW,2. NO,,1. YES,0,0,0,1,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,1,,,,3. WITHIN THE NEXT 2 TO 3 MONTHS,2. NO,,,,,,,,,,,,,,,,,,,1. Very worried,2. NO,,1. RESPONDENT WAS WORKING AT THE TIME OF ROUND 3 INTERVIEW,1. YES,,,,,,,,,,1. YES,,,,1. In your own non-farm business,,,,,,,,2. NO,,,,,,,,,,2. NFE WAS OPERATING AT ROUND 3,,1. Open,,,,,,3. Less than in June,1. USUAL PLACE OF BUSINESS CLOSED DUE TO CORONAVIRUS RECOMMENDATIONS,,1. YES,,3. The same,2. NO,,2. NO,,,,,,,,,,,,,,,,,,,,,,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,4. Not worried at all,1,0,0,0,0,0,0,0,0,,1. A substantial threat,1,0,0,0,0,0,0,0,0,0,0,1,1. COMPLETE,1,5. IGBO,,,0,2020-08-19T19:10:28
4. South East,1. Abia,111. OSISIOMA NORTH,1. Urban,1146,10040,16,13772.818267026709,14564.511818904055,2. NO,2. NO,1. All of the time,1. All of the time,0. NONE,2. NO,,,,,,,,,,,2. NO,3. NO,,,,,,,,,,,,2. NO,,,,2. NO,,,,,,,,,,,,,,,,2. NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2. NO,,,,,,,,,,,,,,,,,,,,,,1. RESPONDENT WAS WORKING AT THE TIME OF ROUND 3 INTERVIEW,1. YES,,,,,,,,,,1. YES,,,"1. AGRICULTURE, HUNTING, FISHING",4. As an employee for a private company or another individual (not household member),,1. YES,,,,60,2. Same number of hours,,,,,,,,,,,3. NFE WAS NOT OPERATING OR PERMANENTLY CLOSED AT ROUND 3,2. NO,,,,,,,,,,1. YES,,2. Higher,1. YES,2. Higher,2. NO,,,,,,,,,,,,,,,,,,,,,,2. NO,2. NO,1. YES,2. NO,2. NO,2. NO,2. NO,2. NO,3. Not too worried,0,1,0,0,0,0,0,0,0,,4. Not a threat at all,1,0,0,0,0,0,0,0,1,0,0,0,1. COMPLETE,1,1. ENGLISH,,,0,2020-08-13T15:01:06
4. South East,1. Abia,102. ABA SOUTH,1. Urban,1690,10054,2,9185.243590296297,9708.532711690876,2. NO,2. NO,1. All of the time,1. All of the time,1. ONE,1. YES,2. NO,,,,,,,,,,2. NO,3. NO,,,,,,,,,,,,2. NO,,,,1. YES,1. YES,0,0,0,0,1,1,0,0,,2. NO,1. YES,2. NO,2. NO,,2. NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2. NO,,,,,,,,,,,,,,,,,,,,,,2. RESPONDENT WAS NOT WORKING AT THE TIME OF ROUND 3 INTERVIEW,1. YES,,,,,,,,,,,,,"1. AGRICULTURE, HUNTING, FISHING","3. In a family farm, growing crops, raising livestock, or fishing","3. Some will be sold, some will be consumed by the family",,,,,,,2. NO,,,,,,,,,,1. NFE TEMPORARILY CLOSED AT LAST INTERVIEW,,1. Open,,,,,,,,,1. YES,,1. Much higher,1. YES,2. Higher,2. NO,,,,,,,,,,,,,,,,,,,,,,1. YES,2. NO,1. YES,1. YES,1. YES,1. YES,1. YES,2. NO,4. Not worried at all,0,0,0,0,0,1,0,0,0,,2. A moderate threat,1,0,0,0,0,0,0,0,1,0,0,0,1. COMPLETE,2,1. ENGLISH,,,0,2020-08-11T11:25:43
4. South East,1. Abia,102. ABA SOUTH,1. Urban,1690,10056,2,13681.574628564837,14611.164465359556,2. NO,2. NO,1. All of the time,1. All of the time,1. ONE,1. YES,2. NO,,,,,,,,,,1. YES,,,,,,,,,,,,,2. NO,,,,2. NO,,,,,,,,,,,,,2. NO,2. NO,,1. YES,0,0,0,0,0,0,0,1,0,0,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,101,,,,3. WITHIN THE NEXT 2 TO 3 MONTHS,2. NO,,,,,,,,,,,,,,,,,,,1. Very worried,1. YES,2. NO,1. RESPONDENT WAS WORKING AT THE TIME OF ROUND 3 INTERVIEW,1. YES,,,,,,,,,,1. YES,,,"6. TRANSPORT, DRIVING, POST, TRAVEL AGENCIES",1. In your own non-farm business,,,,,,,,2. NO,,,,,,,,,,2. NFE WAS OPERATING AT ROUND 3,,1. Open,,,,,,2. The same as in June,,,1. YES,,1. Much higher,1. YES,,2. NO,,,,,,,,,,,,,,,,,,,,,,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,2. NO,1. Very worried,,,,,,,,,,,1. A substantial threat,1,0,0,0,0,0,0,0,0,0,0,1,1. COMPLETE,201,5. IGBO,,,0,2020-08-22T22:33:26
4. South East,1. Abia,102. ABA SOUTH,1. Urban,1690,10057,6,8437.705639989515,9013.103791403195,2. NO,2. NO,1. All of the time,1. All of the time,2. TWO,1. YES,2. NO,,,,,,,,,,2. NO,3. NO,,,,,,,,,,,,1. YES,1. YES,,,1. YES,1. YES,0,0,0,0,0,0,1,0,,1. YES,,2. NO,2. NO,,2. NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2. NO,,,,,,,,,,,,,,,,,,,,,,2. RESPONDENT WAS NOT WORKING AT THE TIME OF ROUND 3 INTERVIEW,1. YES,,,,,,,,,,,,,4. CONSTRUCTION,1. In your own non-farm business,,,,,,,,1. YES,5,,,,,,,,,2. NFE WAS OPERATING AT ROUND 3,,2. Temporarily closed,3. NO COSTUMERS / FEWER CUSTOMERS,,2. NO,,,4. No revenue from sales currently,3. NO COSTUMERS / FEWER CUSTOMERS,,2. NO,,,,,2. NO,,,,,,,,,,,,,,,,,,,,,,1. YES,1. YES,2. NO,1. YES,1. YES,1. YES,1. YES,2. NO,1. Very worried,,,,,,,,,,,1. A substantial threat,1,0,0,0,0,0,0,0,1,0,0,0,1. COMPLETE,2,5. IGBO,,,0,2020-08-17T17:47:11
4. South East,1. Abia,102. ABA SOUTH,1. Urban,1690,10060,2,7903.422953524926,8427.092238995894,2. NO,2. NO,1. All of the time,1. All of the time,3. THREE,1. YES,2. NO,,,,,,,,,,2. NO,3. NO,,,,,,,,,,,,1. YES,1. YES,,,1. YES,1. YES,1,0,0,0,1,1,1,0,,1. YES,,2. NO,1. YES,3. HIGHER,1. YES,0,0,0,1,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,2,,,,2. WITHIN ONE MONTH,2. NO,,,,,,,,,,,,,,,,,,,1. Very worried,1. YES,1. YES,1. RESPONDENT WAS WORKING AT THE TIME OF ROUND 3 INTERVIEW,1. YES,,,,,,,,,,1. YES,,,"1. AGRICULTURE, HUNTING, FISHING",1. In your own non-farm business,,,,,,,,2. NO,,,,,,,,,,2. NFE WAS OPERATING AT ROUND 3,,1. Open,,,,,,2. The same as in June,,,1. YES,,2. Higher,1. YES,2. Higher,2. NO,,,,,,,,,,,,,,,,,,,,,,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,4. Not worried at all,0,0,0,0,0,1,0,0,0,,1. A substantial threat,1,0,0,0,0,0,0,0,0,0,0,1,1. COMPLETE,2,5. IGBO,,,3,2020-08-19T19:34:31
