zone,state,lga,sector,ea,hhid,indiv,wt_employ_r5,wt_employ_r5_pp_panel,wt_employ_r5_ph_panel,respondent,s6q0a,s6q0c,s6q1_1,s6q1a_1,s6q1b_1,s6q1c_1,s6q1c_1_os,s6q1d_1,s6q3a_1,s6q3b_1,s6q3b_1_os,s6q6_1,s6q6a_1,s6q5a_1,s6q8b1_1,s6q8c1_1
4. South East,1. Abia,115. UMUAHIA NORTH,1. Urban,670,10001,1,30044.78777673261,27044.261544152407,27830.75399023617,1. YES,,,1. YES,,,,,,,,,1. In your own non-farm business,,"9. PERSONAL SERVICES, EDUCATION, HEALTH, CULTURE, SPORT, DOMESTIC WORK, OTHER",53,53
4. South East,1. Abia,115. UMUAHIA NORTH,1. Urban,670,10001,2,26319.106000710202,25611.93578393841,25205.212957285356,2. NO,2. NO,1,1. YES,,,,,,,,,2. In a non-farm business operated by a household member,,"9. PERSONAL SERVICES, EDUCATION, HEALTH, CULTURE, SPORT, DOMESTIC WORK, OTHER",53,53
4. South East,1. Abia,115. UMUAHIA NORTH,1. Urban,670,10001,4,31022.91204828178,27257.86489356152,28239.219319726082,2. NO,2. NO,1,1. YES,,,,,,,,,2. In a non-farm business operated by a household member,,"9. PERSONAL SERVICES, EDUCATION, HEALTH, CULTURE, SPORT, DOMESTIC WORK, OTHER",84,84
4. South East,1. Abia,105. IKWUANO,2. Rural,0,10009,1,24098.588482929703,30047.173340543253,29260.253928779894,2. NO,1. YES,,1. YES,,,,,,,,,5. As an employee for the government,,8. PUBLIC ADMINISTRATION,60,48
4. South East,1. Abia,105. IKWUANO,2. Rural,0,10009,2,24672.039244565654,35496.48139053947,32507.293472669488,1. YES,,,1. YES,,,,,,,,,"3. In a family farm, growing crops, raising livestock, or fishing","3. Some will be sold, some will be consumed by the family","1. AGRICULTURE, HUNTING, FISHING",18,18
4. South East,1. Abia,105. IKWUANO,2. Rural,0,10009,6,23356.254706296182,35830.31406304706,30731.96369473948,2. NO,1. YES,,2. NO,1. YES,1. WITHIN ONE WEEK,5. VACATION,,"3. In a family farm, growing crops, raising livestock, or fishing",,,,,,,,
4. South East,1. Abia,111. OSISIOMA NORTH,1. Urban,1146,10034,2,6357.680859829275,6349.60991460507,6044.315390487164,1. YES,,,1. YES,,,,,,,,,"3. In a family farm, growing crops, raising livestock, or fishing",1. Only for sale,"1. AGRICULTURE, HUNTING, FISHING",6,20
4. South East,1. Abia,111. OSISIOMA NORTH,1. Urban,1146,10034,5,7663.667230763804,8843.561110085664,8900.345094565844,2. NO,2. NO,2,1. YES,,,,,,,,,4. As an employee for a private company or another individual (not household member),,"5. BUYING & SELLING GOODS, REPAIR OF GOODS, HOTELS & RESTAURANTS",30,30
4. South East,1. Abia,111. OSISIOMA NORTH,1. Urban,1146,10034,7,9193.716674497911,10433.829189069498,9311.06359883205,2. NO,2. NO,2,2. NO,2. NO,,,,,2. NO,,,,,,,
4. South East,1. Abia,111. OSISIOMA NORTH,1. Urban,1146,10034,8,7663.667230763804,8843.561110085664,8900.345094565844,2. NO,2. NO,2,1. YES,,,,,,,,,1. In your own non-farm business,,"5. BUYING & SELLING GOODS, REPAIR OF GOODS, HOTELS & RESTAURANTS",45,45
