zone,state,lga,sector,ea,hhid,indiv,wt_educ_r6,wt_educ_r6_pp_panel,wt_educ_r6_ph_panel,s5cq10,s5cq10a,s5cq11,s5cq12,s5cq12_os,s5cq12a,s5cq13a,s5cq13,s5cq13_os,s5cq14,s5cq14_os,s5cq15,s5cq16,s5cq17,s5cq17a,s5cq18,s5cq19,s5cq19_os,s5cq20,s5cq20_os,s5cq21
4. South East,1. Abia,115. UMUAHIA NORTH,1. Urban,670,10001,1,,,,2. NO,,,,,,,,,,,,,,,,,,,,
4. South East,1. Abia,115. UMUAHIA NORTH,1. Urban,670,10001,2,,,,2. NO,,,,,,,,,,,,,,,,,,,,
4. South East,1. Abia,115. UMUAHIA NORTH,1. Urban,670,10001,3,22809.544498732797,25517.571485633875,25172.783446797697,1. YES,1. YES,1. YES,,,,1. 2019/20 SESSION,22. JS2,,1. FEDERAL GOVERNMENT,,3. NO,,1. YES,2. NO,,,,,,
4. South East,1. Abia,115. UMUAHIA NORTH,1. Urban,670,10001,4,,,,2. NO,,,,,,,,,,,,,,,,,,,,
4. South East,1. Abia,115. UMUAHIA NORTH,1. Urban,670,10001,8,22144.39919361671,24261.246799615546,23762.928874123187,1. YES,1. YES,1. YES,,,,1. 2019/20 SESSION,13. PRIMARY 3,,6. PRIVATE,,"1. YES, EVERY DAY",,,2. NO,,,,,,
4. South East,1. Abia,115. UMUAHIA NORTH,1. Urban,670,10001,9,,,,2. NO,,,,,,,,,,,,,,,,,,,,
4. South East,1. Abia,115. UMUAHIA NORTH,1. Urban,670,10001,101,,,,2. NO,,,,,,,,,,,,,,,,,,,,
4. South East,1. Abia,105. IKWUANO,2. Rural,0,10009,1,,,,2. NO,,,,,,,,,,,,,,,,,,,,
4. South East,1. Abia,105. IKWUANO,2. Rural,0,10009,2,,,,2. NO,,,,,,,,,,,,,,,,,,,,
4. South East,1. Abia,105. IKWUANO,2. Rural,0,10009,3,25410.440190593083,27559.736216809077,26855.149321934263,1. YES,1. YES,2. NO,4. AWAITING ADMISSION,,,,,,,,,,,2. NO,1. YES,16. PRIMARY 6,,6. PRIVATE,,1. YES
