zone,state,lga,sector,ea,hhid,baseline_date,interviewer_id,wt_round2,s2q0a,s2q0b,s5q1e,s5q1f,s5q1f_os,s5q1a,s5q1a1,s5q1a1_os,s5q1b,s5q1b1,s5q1b1_os,s5q1c,s5q1d,s5q2,s5q3,s5q4,s5q4_os,filter1,s5q4b,s5q5__1,s5q5__2,s5q5__3,s5q5__4,s5q5__5,s5q5__6,s5q5__7,s5q5__96,s5q5_os,s5q6,s5q7__1,s5q7__2,s5q7__3,s5q7__4,s5q7__5,s5q7__6,s5q7__7,emp_case,s6q1,s6q1a,s6q1b,s6q1c,s6q1c_os,s6q3,s6q3_os,s6q3a,s6q3b,s6q3b_os,s6q4a,s6q4b,s6q4b_os,s6q5,s6q6,s6q7,s6q8,s6q8a,s6q8a_os,s6q8b,s6q8c,s6q8d__1,s6q8d__2,s6q8d__3,s6q8d__4,s6q8e,s6q9,s6q10_1,s6q10_2,s6q10_3,s6q10_4,nfe_case,s6q11,s6q11a,s6q11b,s6q11b_os,s6q12,s6q13,s6q14,s6q14_os,s6q15__1,s6q15__2,s6q15__3,s6q15__4,s6q15__5,s6q15__6,s6q15__96,s6q15_os,s6q15a,s6q15b__1,s6q15b__2,s6q15b__3,s6q15b__4,s6q15b__5,s6q15b__6,s6q15b__96,s6q15b_os,s6q16,s6q17,s6q18_1,s6q18_2,s6q18_3,s6q18_os,s6q19,s6q20__1,s6q20__2,s6q20__3,s6q20__4,s6q20__5,s6q20__6,s6q20__7,s6q20__96,s6q20_os,s6q21a__1,s6q21a__2,s6q21a__3,s6q21a__4,s6q21a__5,s6q21a__6,s6q21a__7,s6q21a__8,s6q21a__96,s6q21a_os,s6q21b__1,s6q21b__2,s6q21b__3,s6q21b__4,s6q21b__5,s6q21b__6,s6q21b__7,s6q21b__8,s6q21b__96,s6q21b_os,s6q22__1,s6q22__2,s6q22__3,s6q22__4,s6q22__5,s6q22__6,s6q22__96,s6q22_os,s6q23,s8q1,s8q2,s8q3,s8q4,s8q5,s8q6,s8q7,s8q8,s12q3__0,s12q3__1,s12q3__2,s12q3__3,s12q3__4,s12q3__5,s12q3__6,s12q3__7,s12q4__0,s12q4__1,s12q4__2,s12q4__3,s12q5,s12q9,s12q10,s12q10a,s12q10_os,s12q11,s12q14
4. South East,1. Abia,115. UMUAHIA NORTH,1. Urban,670,10001,April 23,2,29317.11498731634,2. NO,2. NO,"2. NO, ALWAYS SUFFICIENT",,,1. YES,,,1. YES,,,1. All of the time,1. All of the time,1. YES,1. YES,,,1. YES,1. YES,1,0,1,0,1,1,1,0,,1. YES,0,0,0,0,1,0,0,2. WORKING AT BASELINE,1. YES,,,,,,,,,,1. YES,,,"9. PERSONAL SERVICES, EDUCATION, HEALTH, CULTURE, SPORT, DOMESTIC WORK, OTHER",1. In your own non-farm business,,,,,,,,,,,,1. YES,2,,,,4. RESPONDENT WORKED IN NFE LAST WEEK AND NFE WAS OPERATING AT BASELINE,,1. Open,,,"9. PERSONAL SERVICES, EDUCATION, HEALTH, CULTURE, SPORT, DOMESTIC WORK, OTHER",1. Higher,,,1. YES,2. NO,2. NO,2. NO,2. NO,1. YES,2. NO,,1. YES,1,1,0,1,0,0,0,,1. YES,,1080. MAIZE,9999. OTHER CROP (SPECIFY),,pumpkin,3. NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,1,0,0,0,0,0,0,0,0,0,0,1,1. COMPLETE,1,1. ENGLISH,,,0,2020-06-02T08:13:08
4. South East,1. Abia,115. UMUAHIA NORTH,1. Urban,670,10003,April 29,20,29317.11498731634,2. NO,2. NO,"2. NO, ALWAYS SUFFICIENT",,,1. YES,,,1. YES,,,2. Most of the time,1. All of the time,2. NO,,,,1. YES,1. YES,1,0,0,1,1,1,1,1,online learning,1. YES,1,0,0,0,1,0,0,3. NOT WORKING BEFORE MID-MARCH NOR AT BASELINE,2. NO,1. YES,98. DON'T KNOW,10. NOT ABLE TO GO TO FARM DUE TO MOVEMENT RESTRICTIONS,,,,,,,,,,"1. AGRICULTURE, HUNTING, FISHING","3. In a family farm, growing crops, raising livestock, or fishing",,,,,,,,,,,,2. NO,,,,,3. NFE WAS NOT OPERATING BEFORE MID-MARCH NOR AT BASELINE,2. NO,,,,,,,,,,,,,,,,,,,,,,,,,"3. NO, MY HOUSEHOLD DOESN'T HAVE A FARM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,1,0,0,0,0,0,0,0,1,0,0,0,1. COMPLETE,1,1. ENGLISH,,,0,2020-06-11T12:55:39
4. South East,1. Abia,105. IKWUANO,2. Rural,0,10009,May 06,20,28130.909552975627,2. NO,2. NO,"2. NO, ALWAYS SUFFICIENT",,,1. YES,,,1. YES,,,4. Some of the time,3. About half of the time,2. NO,,,,1. YES,1. YES,1,1,1,0,1,0,1,0,,2. NO,,,,,,,,2. WORKING AT BASELINE,1. YES,,,,,,,,,,1. YES,,,"1. AGRICULTURE, HUNTING, FISHING","3. In a family farm, growing crops, raising livestock, or fishing",,,,,,,,,,,,2. NO,,,,,2. NFE WAS OPERATING AT BASELINE,,2. Temporarily closed,1. USUAL PLACE OF BUSINESS CLOSED DUE TO CORONAVIRUS LEGAL RESTRICTIONS,,"5. BUYING &amp; SELLING GOODS, REPAIR OF GOODS, HOTELS &amp; RESTAURANTS",,,,1. YES,2. NO,2. NO,2. NO,2. NO,1. YES,2. NO,,2. NO,,,,,,,,,1. YES,,1020. CASSAVA,1080. MAIZE,9999. OTHER CROP (SPECIFY),sweet potatoes,3. NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1. YES,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,1,0,0,0,0,0,0,0,1,0,0,0,1. COMPLETE,2,1. ENGLISH,,,0,2020-06-10T19:37:37
4. South East,1. Abia,111. OSISIOMA NORTH,1. Urban,1146,10034,May 06,15,7818.273574935257,2. NO,2. NO,"2. NO, ALWAYS SUFFICIENT",,,1. YES,,,1. YES,,,1. All of the time,2. Most of the time,2. NO,,,,1. YES,2. NO,,,,,,,,,,2. NO,,,,,,,,2. WORKING AT BASELINE,1. YES,,,,,,,,,,1. YES,,,"1. AGRICULTURE, HUNTING, FISHING","3. In a family farm, growing crops, raising livestock, or fishing",,,,,,,,,,,,2. NO,,,,,3. NFE WAS NOT OPERATING BEFORE MID-MARCH NOR AT BASELINE,2. NO,,,,,,,,,,,,,,,,,,,,,,,,,1. YES,,9999. OTHER CROP (SPECIFY),1080. MAIZE,,Pumpkin,1. YES,0,0,0,0,1,0,0,0,,1,1,1,1,1,1,0,0,0,,,,,,,,,,,,0,0,0,1,0,1,0,,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,2. NO,2. NO,2. NO,1,0,0,0,0,0,0,0,1,0,0,0,1. COMPLETE,2,5. IGBO,,,0,2020-06-06T08:11:48
4. South East,1. Abia,111. OSISIOMA NORTH,1. Urban,1146,10035,May 04,2,9414.933874424662,2. NO,2. NO,"2. NO, ALWAYS SUFFICIENT",,,1. YES,,,1. YES,,,1. All of the time,1. All of the time,2. NO,,,,2. NO,,,,,,,,,,,,,,,,,,,1. WORKING BEFORE MID-MARCH BUT NOT AT BASELINE,1. YES,,,,,,,,,,2. NO,2. PREVIOUS BUSINESS / JOB CLOSED FOR ANOTHER REASON,,"5. BUYING &amp; SELLING GOODS, REPAIR OF GOODS, HOTELS &amp; RESTAURANTS",1. In your own non-farm business,,,,,,,,,,,,2. NO,,,,,4. RESPONDENT WORKED IN NFE LAST WEEK AND NFE WAS OPERATING AT BASELINE,,1. Open,,,"5. BUYING &amp; SELLING GOODS, REPAIR OF GOODS, HOTELS &amp; RESTAURANTS",3. Less,1. USUAL PLACE OF BUSINESS CLOSED DUE TO CORONAVIRUS LEGAL RESTRICTIONS,,2. NO,2. NO,2. NO,1. YES,2. NO,2. NO,2. NO,,1. YES,0,0,0,1,0,0,0,,"3. NO, MY HOUSEHOLD DOESN'T HAVE A FARM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2. NO,1. YES,2. NO,1. YES,1. YES,1. YES,1. YES,2. NO,2. NO,1,0,0,0,0,0,0,0,1,0,0,0,1. COMPLETE,1,5. IGBO,,,0,2020-06-03T11:02:51
4. South East,1. Abia,111. OSISIOMA NORTH,1. Urban,1146,10038,May 04,2,10802.267087422093,2. NO,2. NO,"2. NO, ALWAYS SUFFICIENT",,,1. YES,,,1. YES,,,1. All of the time,1. All of the time,1. YES,1. YES,,,1. YES,2. NO,,,,,,,,,,2. NO,,,,,,,,1. WORKING BEFORE MID-MARCH BUT NOT AT BASELINE,1. YES,,,,,,,,,,1. YES,,,,1. In your own non-farm business,,,,,,,,,,,,2. NO,,,,,5. RESPONDENT WORKED IN NFE LAST WEEK BUT NFE WAS NOT OPERATING AT BASELINE,,1. Open,,,"6. TRANSPORT, DRIVING, POST, TRAVEL AGENCIES",,,,2. NO,1. YES,2. NO,2. NO,2. NO,1. YES,2. NO,,2. NO,,,,,,,,,1. YES,,1020. CASSAVA,1080. MAIZE,1124. YAM,,3. NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2. NO,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,1,0,0,0,0,0,0,0,1,0,0,0,1. COMPLETE,1,5. IGBO,,,3,2020-06-07T11:22:43
4. South East,1. Abia,111. OSISIOMA NORTH,1. Urban,1146,10040,April 24,16,12943.995245146978,2. NO,2. NO,"2. NO, ALWAYS SUFFICIENT",,,1. YES,,,2. NO,96. OTHER (SPECIFY),There is no light,1. All of the time,1. All of the time,2. NO,,,,2. NO,,,,,,,,,,,,,,,,,,,1. WORKING BEFORE MID-MARCH BUT NOT AT BASELINE,1. YES,,,,,,,,,,1. YES,,,,4. As an employee for a private company or another individual (not household member),1. YES,,,,56,2. Same number of hours,2. NO,2. NO,1. YES,1. YES,1. YES,2. NO,,,,,3. NFE WAS NOT OPERATING BEFORE MID-MARCH NOR AT BASELINE,2. NO,,,,,,,,,,,,,,,,,,,,,,,,,1. YES,,1124. YAM,,,,3. NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2. NO,2. NO,2. NO,2. NO,2. NO,1. YES,1. YES,1. YES,2. NO,1,0,0,0,0,0,0,0,1,0,0,0,1. COMPLETE,1,1. ENGLISH,,,0,2020-06-12T18:09:31
4. South East,1. Abia,102. ABA SOUTH,1. Urban,1690,10054,April 28,2,8662.909254524498,2. NO,2. NO,"1. YES, AT LEAST ONCE",96. OTHER (SPECIFY),power failure,1. YES,,,2. NO,96. OTHER (SPECIFY),power failure,4. Some of the time,1. All of the time,2. NO,,,,1. YES,2. NO,,,,,,,,,,2. NO,,,,,,,,1. WORKING BEFORE MID-MARCH BUT NOT AT BASELINE,1. YES,,,,,,,,,,2. NO,96. OTHER (SPECIFY),disengaged due to,"1. AGRICULTURE, HUNTING, FISHING","3. In a family farm, growing crops, raising livestock, or fishing",,,,,,,,,,,,2. NO,,,,,3. NFE WAS NOT OPERATING BEFORE MID-MARCH NOR AT BASELINE,1. YES,2. Temporarily closed,1. USUAL PLACE OF BUSINESS CLOSED DUE TO CORONAVIRUS LEGAL RESTRICTIONS,,"5. BUYING &amp; SELLING GOODS, REPAIR OF GOODS, HOTELS &amp; RESTAURANTS",,,,1. YES,1. YES,2. NO,1. YES,2. NO,1. YES,2. NO,,1. YES,1,1,0,0,0,0,0,,1. YES,,9999. OTHER CROP (SPECIFY),1080. MAIZE,1020. CASSAVA,"veg;okro,ugu and green,curry",3. NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,2. NO,1,0,0,0,0,0,0,0,1,0,0,0,1. COMPLETE,2,1. ENGLISH,,,0,2020-06-05T13:16:04
4. South East,1. Abia,102. ABA SOUTH,1. Urban,1690,10056,April 30,2,12436.971876032485,2. NO,1. YES,"2. NO, ALWAYS SUFFICIENT",,,1. YES,,,1. YES,,,1. All of the time,1. All of the time,1. YES,1. YES,,,2. NO,,,,,,,,,,,,,,,,,,,1. WORKING BEFORE MID-MARCH BUT NOT AT BASELINE,1. YES,,,,,,,,,,1. YES,,,,1. In your own non-farm business,,,,,,,,,,,,2. NO,,,,,5. RESPONDENT WORKED IN NFE LAST WEEK BUT NFE WAS NOT OPERATING AT BASELINE,,1. Open,,,"6. TRANSPORT, DRIVING, POST, TRAVEL AGENCIES",,,,1. YES,1. YES,1. YES,1. YES,2. NO,1. YES,1. YES,faced theft,1. YES,1,1,1,1,0,0,0,,1. YES,,1124. YAM,1080. MAIZE,1020. CASSAVA,,1. YES,0,0,1,0,0,1,0,0,,1,1,1,1,1,1,1,1,0,,,,,,,,,,,,0,0,1,0,1,0,0,,2. NO,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,1,0,0,0,0,0,0,0,1,0,0,0,1. COMPLETE,1,5. IGBO,,,0,2020-06-04T10:00:26
4. South East,1. Abia,102. ABA SOUTH,1. Urban,1690,10057,April 25,6,8714.105342409197,2. NO,1. YES,"2. NO, ALWAYS SUFFICIENT",,,1. YES,,,1. YES,,,1. All of the time,2. Most of the time,2. NO,,,,1. YES,1. YES,0,0,0,0,0,0,1,0,,2. NO,,,,,,,,3. NOT WORKING BEFORE MID-MARCH NOR AT BASELINE,1. YES,,,,,,,,,,,,,"5. BUYING &amp; SELLING GOODS, REPAIR OF GOODS, HOTELS &amp; RESTAURANTS",1. In your own non-farm business,,,,,,,,,,,,2. NO,,,,,4. RESPONDENT WORKED IN NFE LAST WEEK AND NFE WAS OPERATING AT BASELINE,,1. Open,,,"5. BUYING &amp; SELLING GOODS, REPAIR OF GOODS, HOTELS &amp; RESTAURANTS",1. Higher,,,2. NO,1. YES,2. NO,2. NO,2. NO,2. NO,2. NO,,2. NO,,,,,,,,,"3. NO, MY HOUSEHOLD DOESN'T HAVE A FARM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1. YES,1. YES,1. YES,2. NO,1. YES,1. YES,2. NO,1. YES,2. NO,1,0,0,0,0,0,0,0,0,1,0,0,1. COMPLETE,2,5. IGBO,,,0,2020-06-04T07:28:49
4. South East,1. Abia,102. ABA SOUTH,1. Urban,1690,10060,April 26,2,8170.555640806338,2. NO,2. NO,"1. YES, AT LEAST ONCE",10. CANNOT AFFORD IT,,2. NO,7. CANNOT AFFORD IT,,1. YES,,,1. All of the time,1. All of the time,1. YES,1. YES,,,1. YES,1. YES,1,0,0,0,1,1,1,0,,2. NO,,,,,,,,2. WORKING AT BASELINE,1. YES,,,,,,,,,,1. YES,,,"1. AGRICULTURE, HUNTING, FISHING",1. In your own non-farm business,,,,,,,,,,,,2. NO,,,,,4. RESPONDENT WORKED IN NFE LAST WEEK AND NFE WAS OPERATING AT BASELINE,,1. Open,,,"5. BUYING &amp; SELLING GOODS, REPAIR OF GOODS, HOTELS &amp; RESTAURANTS",1. Higher,,,1. YES,1. YES,1. YES,1. YES,1. YES,2. NO,2. NO,,2. NO,,,,,,,,,1. YES,,1124. YAM,1080. MAIZE,9999. OTHER CROP (SPECIFY),okro,1. YES,0,1,0,0,0,0,0,0,,1,1,1,1,1,0,1,1,0,,,,,,,,,,,,0,0,0,0,0,1,0,,2. NO,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,1,0,0,0,0,0,0,0,0,0,0,1,1. COMPLETE,2,5. IGBO,,,3,2020-06-08T21:30:51
