zone,state,lga,sector,ea,hhid,source_cd,s7q1
4. South East,1. Abia,115. UMUAHIA NORTH,1. Urban,670,10001,4. REMITTANCES FROM ABROAD,2. NO
4. South East,1. Abia,115. UMUAHIA NORTH,1. Urban,670,10001,5. REMITTANCES FROM FAMILY WITHIN THE COUNTRY,2. NO
4. South East,1. Abia,115. UMUAHIA NORTH,1. Urban,670,10001,6. ASSISTANCE FROM OTHER NON-FAMILY INDIVIDUALS,2. NO
4. South East,1. Abia,115. UMUAHIA NORTH,1. Urban,670,10001,"7. INCOME FROM PROPERTIES, INVESTMENTS OR SAVINGS",2. NO
4. South East,1. Abia,115. UMUAHIA NORTH,1. Urban,670,10001,8. PENSION,1. YES
4. South East,1. Abia,105. IKWUANO,2. Rural,0,10009,4. REMITTANCES FROM ABROAD,2. NO
4. South East,1. Abia,105. IKWUANO,2. Rural,0,10009,5. REMITTANCES FROM FAMILY WITHIN THE COUNTRY,1. YES
4. South East,1. Abia,105. IKWUANO,2. Rural,0,10009,6. ASSISTANCE FROM OTHER NON-FAMILY INDIVIDUALS,2. NO
4. South East,1. Abia,105. IKWUANO,2. Rural,0,10009,"7. INCOME FROM PROPERTIES, INVESTMENTS OR SAVINGS",1. YES
4. South East,1. Abia,105. IKWUANO,2. Rural,0,10009,8. PENSION,2. NO
4. South East,1. Abia,111. OSISIOMA NORTH,1. Urban,1146,10034,4. REMITTANCES FROM ABROAD,2. NO
4. South East,1. Abia,111. OSISIOMA NORTH,1. Urban,1146,10034,5. REMITTANCES FROM FAMILY WITHIN THE COUNTRY,2. NO
4. South East,1. Abia,111. OSISIOMA NORTH,1. Urban,1146,10034,6. ASSISTANCE FROM OTHER NON-FAMILY INDIVIDUALS,1. YES
4. South East,1. Abia,111. OSISIOMA NORTH,1. Urban,1146,10034,"7. INCOME FROM PROPERTIES, INVESTMENTS OR SAVINGS",2. NO
4. South East,1. Abia,111. OSISIOMA NORTH,1. Urban,1146,10034,8. PENSION,2. NO
4. South East,1. Abia,111. OSISIOMA NORTH,1. Urban,1146,10035,4. REMITTANCES FROM ABROAD,2. NO
4. South East,1. Abia,111. OSISIOMA NORTH,1. Urban,1146,10035,5. REMITTANCES FROM FAMILY WITHIN THE COUNTRY,2. NO
4. South East,1. Abia,111. OSISIOMA NORTH,1. Urban,1146,10035,6. ASSISTANCE FROM OTHER NON-FAMILY INDIVIDUALS,2. NO
4. South East,1. Abia,111. OSISIOMA NORTH,1. Urban,1146,10035,"7. INCOME FROM PROPERTIES, INVESTMENTS OR SAVINGS",2. NO
4. South East,1. Abia,111. OSISIOMA NORTH,1. Urban,1146,10035,8. PENSION,2. NO
4. South East,1. Abia,111. OSISIOMA NORTH,1. Urban,1146,10038,4. REMITTANCES FROM ABROAD,2. NO
4. South East,1. Abia,111. OSISIOMA NORTH,1. Urban,1146,10038,5. REMITTANCES FROM FAMILY WITHIN THE COUNTRY,2. NO
4. South East,1. Abia,111. OSISIOMA NORTH,1. Urban,1146,10038,6. ASSISTANCE FROM OTHER NON-FAMILY INDIVIDUALS,2. NO
4. South East,1. Abia,111. OSISIOMA NORTH,1. Urban,1146,10038,"7. INCOME FROM PROPERTIES, INVESTMENTS OR SAVINGS",2. NO
4. South East,1. Abia,111. OSISIOMA NORTH,1. Urban,1146,10038,8. PENSION,2. NO
4. South East,1. Abia,111. OSISIOMA NORTH,1. Urban,1146,10040,4. REMITTANCES FROM ABROAD,2. NO
4. South East,1. Abia,111. OSISIOMA NORTH,1. Urban,1146,10040,5. REMITTANCES FROM FAMILY WITHIN THE COUNTRY,2. NO
4. South East,1. Abia,111. OSISIOMA NORTH,1. Urban,1146,10040,6. ASSISTANCE FROM OTHER NON-FAMILY INDIVIDUALS,2. NO
4. South East,1. Abia,111. OSISIOMA NORTH,1. Urban,1146,10040,"7. INCOME FROM PROPERTIES, INVESTMENTS OR SAVINGS",2. NO
4. South East,1. Abia,111. OSISIOMA NORTH,1. Urban,1146,10040,8. PENSION,2. NO
4. South East,1. Abia,102. ABA SOUTH,1. Urban,1690,10054,4. REMITTANCES FROM ABROAD,2. NO
4. South East,1. Abia,102. ABA SOUTH,1. Urban,1690,10054,5. REMITTANCES FROM FAMILY WITHIN THE COUNTRY,2. NO
4. South East,1. Abia,102. ABA SOUTH,1. Urban,1690,10054,6. ASSISTANCE FROM OTHER NON-FAMILY INDIVIDUALS,2. NO
4. South East,1. Abia,102. ABA SOUTH,1. Urban,1690,10054,"7. INCOME FROM PROPERTIES, INVESTMENTS OR SAVINGS",2. NO
4. South East,1. Abia,102. ABA SOUTH,1. Urban,1690,10054,8. PENSION,2. NO
4. South East,1. Abia,102. ABA SOUTH,1. Urban,1690,10056,4. REMITTANCES FROM ABROAD,2. NO
4. South East,1. Abia,102. ABA SOUTH,1. Urban,1690,10056,5. REMITTANCES FROM FAMILY WITHIN THE COUNTRY,2. NO
4. South East,1. Abia,102. ABA SOUTH,1. Urban,1690,10056,6. ASSISTANCE FROM OTHER NON-FAMILY INDIVIDUALS,2. NO
4. South East,1. Abia,102. ABA SOUTH,1. Urban,1690,10056,"7. INCOME FROM PROPERTIES, INVESTMENTS OR SAVINGS",2. NO
4. South East,1. Abia,102. ABA SOUTH,1. Urban,1690,10056,8. PENSION,2. NO
4. South East,1. Abia,102. ABA SOUTH,1. Urban,1690,10057,4. REMITTANCES FROM ABROAD,2. NO
4. South East,1. Abia,102. ABA SOUTH,1. Urban,1690,10057,5. REMITTANCES FROM FAMILY WITHIN THE COUNTRY,2. NO
4. South East,1. Abia,102. ABA SOUTH,1. Urban,1690,10057,6. ASSISTANCE FROM OTHER NON-FAMILY INDIVIDUALS,2. NO
4. South East,1. Abia,102. ABA SOUTH,1. Urban,1690,10057,"7. INCOME FROM PROPERTIES, INVESTMENTS OR SAVINGS",2. NO
4. South East,1. Abia,102. ABA SOUTH,1. Urban,1690,10057,8. PENSION,2. NO
4. South East,1. Abia,102. ABA SOUTH,1. Urban,1690,10060,4. REMITTANCES FROM ABROAD,2. NO
4. South East,1. Abia,102. ABA SOUTH,1. Urban,1690,10060,5. REMITTANCES FROM FAMILY WITHIN THE COUNTRY,1. YES
4. South East,1. Abia,102. ABA SOUTH,1. Urban,1690,10060,6. ASSISTANCE FROM OTHER NON-FAMILY INDIVIDUALS,2. NO
4. South East,1. Abia,102. ABA SOUTH,1. Urban,1690,10060,"7. INCOME FROM PROPERTIES, INVESTMENTS OR SAVINGS",2. NO
4. South East,1. Abia,102. ABA SOUTH,1. Urban,1690,10060,8. PENSION,2. NO
4. South East,1. Abia,107. ISIALA NGWA SOUTH,2. Rural,1044,10067,4. REMITTANCES FROM ABROAD,2. NO
4. South East,1. Abia,107. ISIALA NGWA SOUTH,2. Rural,1044,10067,5. REMITTANCES FROM FAMILY WITHIN THE COUNTRY,2. NO
4. South East,1. Abia,107. ISIALA NGWA SOUTH,2. Rural,1044,10067,6. ASSISTANCE FROM OTHER NON-FAMILY INDIVIDUALS,2. NO
4. South East,1. Abia,107. ISIALA NGWA SOUTH,2. Rural,1044,10067,"7. INCOME FROM PROPERTIES, INVESTMENTS OR SAVINGS",1. YES
4. South East,1. Abia,107. ISIALA NGWA SOUTH,2. Rural,1044,10067,8. PENSION,2. NO
4. South East,1. Abia,107. ISIALA NGWA SOUTH,2. Rural,1044,10069,4. REMITTANCES FROM ABROAD,2. NO
4. South East,1. Abia,107. ISIALA NGWA SOUTH,2. Rural,1044,10069,5. REMITTANCES FROM FAMILY WITHIN THE COUNTRY,2. NO
4. South East,1. Abia,107. ISIALA NGWA SOUTH,2. Rural,1044,10069,6. ASSISTANCE FROM OTHER NON-FAMILY INDIVIDUALS,2. NO
4. South East,1. Abia,107. ISIALA NGWA SOUTH,2. Rural,1044,10069,"7. INCOME FROM PROPERTIES, INVESTMENTS OR SAVINGS",2. NO
4. South East,1. Abia,107. ISIALA NGWA SOUTH,2. Rural,1044,10069,8. PENSION,2. NO
4. South East,1. Abia,117. UMUNNEOCHI,2. Rural,560,10071,4. REMITTANCES FROM ABROAD,2. NO
4. South East,1. Abia,117. UMUNNEOCHI,2. Rural,560,10071,5. REMITTANCES FROM FAMILY WITHIN THE COUNTRY,2. NO
4. South East,1. Abia,117. UMUNNEOCHI,2. Rural,560,10071,6. ASSISTANCE FROM OTHER NON-FAMILY INDIVIDUALS,1. YES
4. South East,1. Abia,117. UMUNNEOCHI,2. Rural,560,10071,"7. INCOME FROM PROPERTIES, INVESTMENTS OR SAVINGS",2. NO
4. South East,1. Abia,117. UMUNNEOCHI,2. Rural,560,10071,8. PENSION,2. NO
4. South East,1. Abia,117. UMUNNEOCHI,2. Rural,560,10077,4. REMITTANCES FROM ABROAD,2. NO
4. South East,1. Abia,117. UMUNNEOCHI,2. Rural,560,10077,5. REMITTANCES FROM FAMILY WITHIN THE COUNTRY,2. NO
4. South East,1. Abia,117. UMUNNEOCHI,2. Rural,560,10077,6. ASSISTANCE FROM OTHER NON-FAMILY INDIVIDUALS,2. NO
4. South East,1. Abia,117. UMUNNEOCHI,2. Rural,560,10077,"7. INCOME FROM PROPERTIES, INVESTMENTS OR SAVINGS",2. NO
4. South East,1. Abia,117. UMUNNEOCHI,2. Rural,560,10077,8. PENSION,2. NO
4. South East,1. Abia,117. UMUNNEOCHI,2. Rural,560,10079,4. REMITTANCES FROM ABROAD,2. NO
4. South East,1. Abia,117. UMUNNEOCHI,2. Rural,560,10079,5. REMITTANCES FROM FAMILY WITHIN THE COUNTRY,2. NO
4. South East,1. Abia,117. UMUNNEOCHI,2. Rural,560,10079,6. ASSISTANCE FROM OTHER NON-FAMILY INDIVIDUALS,2. NO
4. South East,1. Abia,117. UMUNNEOCHI,2. Rural,560,10079,"7. INCOME FROM PROPERTIES, INVESTMENTS OR SAVINGS",2. NO
4. South East,1. Abia,117. UMUNNEOCHI,2. Rural,560,10079,8. PENSION,2. NO
4. South East,1. Abia,105. IKWUANO,2. Rural,638,10096,4. REMITTANCES FROM ABROAD,2. NO
4. South East,1. Abia,105. IKWUANO,2. Rural,638,10096,5. REMITTANCES FROM FAMILY WITHIN THE COUNTRY,2. NO
4. South East,1. Abia,105. IKWUANO,2. Rural,638,10096,6. ASSISTANCE FROM OTHER NON-FAMILY INDIVIDUALS,2. NO
4. South East,1. Abia,105. IKWUANO,2. Rural,638,10096,"7. INCOME FROM PROPERTIES, INVESTMENTS OR SAVINGS",2. NO
4. South East,1. Abia,105. IKWUANO,2. Rural,638,10096,8. PENSION,2. NO
4. South East,1. Abia,108. ISUIKWATO,2. Rural,904,10103,4. REMITTANCES FROM ABROAD,2. NO
4. South East,1. Abia,108. ISUIKWATO,2. Rural,904,10103,5. REMITTANCES FROM FAMILY WITHIN THE COUNTRY,2. NO
4. South East,1. Abia,108. ISUIKWATO,2. Rural,904,10103,6. ASSISTANCE FROM OTHER NON-FAMILY INDIVIDUALS,2. NO
4. South East,1. Abia,108. ISUIKWATO,2. Rural,904,10103,"7. INCOME FROM PROPERTIES, INVESTMENTS OR SAVINGS",2. NO
4. South East,1. Abia,108. ISUIKWATO,2. Rural,904,10103,8. PENSION,2. NO
4. South East,1. Abia,108. ISUIKWATO,2. Rural,904,10106,4. REMITTANCES FROM ABROAD,2. NO
4. South East,1. Abia,108. ISUIKWATO,2. Rural,904,10106,5. REMITTANCES FROM FAMILY WITHIN THE COUNTRY,2. NO
4. South East,1. Abia,108. ISUIKWATO,2. Rural,904,10106,6. ASSISTANCE FROM OTHER NON-FAMILY INDIVIDUALS,2. NO
4. South East,1. Abia,108. ISUIKWATO,2. Rural,904,10106,"7. INCOME FROM PROPERTIES, INVESTMENTS OR SAVINGS",2. NO
4. South East,1. Abia,108. ISUIKWATO,2. Rural,904,10106,8. PENSION,2. NO
4. South East,1. Abia,108. ISUIKWATO,2. Rural,904,10108,4. REMITTANCES FROM ABROAD,2. NO
4. South East,1. Abia,108. ISUIKWATO,2. Rural,904,10108,5. REMITTANCES FROM FAMILY WITHIN THE COUNTRY,2. NO
4. South East,1. Abia,108. ISUIKWATO,2. Rural,904,10108,6. ASSISTANCE FROM OTHER NON-FAMILY INDIVIDUALS,2. NO
4. South East,1. Abia,108. ISUIKWATO,2. Rural,904,10108,"7. INCOME FROM PROPERTIES, INVESTMENTS OR SAVINGS",2. NO
4. South East,1. Abia,108. ISUIKWATO,2. Rural,904,10108,8. PENSION,2. NO
4. South East,1. Abia,102. ABA SOUTH,1. Urban,46,19001,4. REMITTANCES FROM ABROAD,2. NO
4. South East,1. Abia,102. ABA SOUTH,1. Urban,46,19001,5. REMITTANCES FROM FAMILY WITHIN THE COUNTRY,2. NO
4. South East,1. Abia,102. ABA SOUTH,1. Urban,46,19001,6. ASSISTANCE FROM OTHER NON-FAMILY INDIVIDUALS,2. NO
4. South East,1. Abia,102. ABA SOUTH,1. Urban,46,19001,"7. INCOME FROM PROPERTIES, INVESTMENTS OR SAVINGS",2. NO
4. South East,1. Abia,102. ABA SOUTH,1. Urban,46,19001,8. PENSION,2. NO
4. South East,1. Abia,102. ABA SOUTH,1. Urban,46,19007,4. REMITTANCES FROM ABROAD,2. NO
4. South East,1. Abia,102. ABA SOUTH,1. Urban,46,19007,5. REMITTANCES FROM FAMILY WITHIN THE COUNTRY,2. NO
4. South East,1. Abia,102. ABA SOUTH,1. Urban,46,19007,6. ASSISTANCE FROM OTHER NON-FAMILY INDIVIDUALS,2. NO
4. South East,1. Abia,102. ABA SOUTH,1. Urban,46,19007,"7. INCOME FROM PROPERTIES, INVESTMENTS OR SAVINGS",2. NO
4. South East,1. Abia,102. ABA SOUTH,1. Urban,46,19007,8. PENSION,2. NO
4. South East,1. Abia,102. ABA SOUTH,1. Urban,46,19008,4. REMITTANCES FROM ABROAD,2. NO
4. South East,1. Abia,102. ABA SOUTH,1. Urban,46,19008,5. REMITTANCES FROM FAMILY WITHIN THE COUNTRY,2. NO
4. South East,1. Abia,102. ABA SOUTH,1. Urban,46,19008,6. ASSISTANCE FROM OTHER NON-FAMILY INDIVIDUALS,2. NO
4. South East,1. Abia,102. ABA SOUTH,1. Urban,46,19008,"7. INCOME FROM PROPERTIES, INVESTMENTS OR SAVINGS",2. NO
4. South East,1. Abia,102. ABA SOUTH,1. Urban,46,19008,8. PENSION,2. NO
4. South East,1. Abia,102. ABA SOUTH,1. Urban,46,19010,4. REMITTANCES FROM ABROAD,2. NO
4. South East,1. Abia,102. ABA SOUTH,1. Urban,46,19010,5. REMITTANCES FROM FAMILY WITHIN THE COUNTRY,2. NO
4. South East,1. Abia,102. ABA SOUTH,1. Urban,46,19010,6. ASSISTANCE FROM OTHER NON-FAMILY INDIVIDUALS,2. NO
4. South East,1. Abia,102. ABA SOUTH,1. Urban,46,19010,"7. INCOME FROM PROPERTIES, INVESTMENTS OR SAVINGS",2. NO
4. South East,1. Abia,102. ABA SOUTH,1. Urban,46,19010,8. PENSION,2. NO
4. South East,1. Abia,102. ABA SOUTH,1. Urban,46,19012,4. REMITTANCES FROM ABROAD,2. NO
4. South East,1. Abia,102. ABA SOUTH,1. Urban,46,19012,5. REMITTANCES FROM FAMILY WITHIN THE COUNTRY,2. NO
4. South East,1. Abia,102. ABA SOUTH,1. Urban,46,19012,6. ASSISTANCE FROM OTHER NON-FAMILY INDIVIDUALS,2. NO
4. South East,1. Abia,102. ABA SOUTH,1. Urban,46,19012,"7. INCOME FROM PROPERTIES, INVESTMENTS OR SAVINGS",2. NO
4. South East,1. Abia,102. ABA SOUTH,1. Urban,46,19012,8. PENSION,2. NO
4. South East,1. Abia,102. ABA SOUTH,1. Urban,806,19017,4. REMITTANCES FROM ABROAD,2. NO
4. South East,1. Abia,102. ABA SOUTH,1. Urban,806,19017,5. REMITTANCES FROM FAMILY WITHIN THE COUNTRY,2. NO
4. South East,1. Abia,102. ABA SOUTH,1. Urban,806,19017,6. ASSISTANCE FROM OTHER NON-FAMILY INDIVIDUALS,2. NO
4. South East,1. Abia,102. ABA SOUTH,1. Urban,806,19017,"7. INCOME FROM PROPERTIES, INVESTMENTS OR SAVINGS",2. NO
4. South East,1. Abia,102. ABA SOUTH,1. Urban,806,19017,8. PENSION,2. NO
4. South East,1. Abia,102. ABA SOUTH,1. Urban,806,19018,4. REMITTANCES FROM ABROAD,2. NO
4. South East,1. Abia,102. ABA SOUTH,1. Urban,806,19018,5. REMITTANCES FROM FAMILY WITHIN THE COUNTRY,2. NO
4. South East,1. Abia,102. ABA SOUTH,1. Urban,806,19018,6. ASSISTANCE FROM OTHER NON-FAMILY INDIVIDUALS,2. NO
4. South East,1. Abia,102. ABA SOUTH,1. Urban,806,19018,"7. INCOME FROM PROPERTIES, INVESTMENTS OR SAVINGS",2. NO
4. South East,1. Abia,102. ABA SOUTH,1. Urban,806,19018,8. PENSION,2. NO
4. South East,1. Abia,102. ABA SOUTH,1. Urban,806,19020,4. REMITTANCES FROM ABROAD,2. NO
4. South East,1. Abia,102. ABA SOUTH,1. Urban,806,19020,5. REMITTANCES FROM FAMILY WITHIN THE COUNTRY,2. NO
4. South East,1. Abia,102. ABA SOUTH,1. Urban,806,19020,6. ASSISTANCE FROM OTHER NON-FAMILY INDIVIDUALS,2. NO
4. South East,1. Abia,102. ABA SOUTH,1. Urban,806,19020,"7. INCOME FROM PROPERTIES, INVESTMENTS OR SAVINGS",1. YES
4. South East,1. Abia,102. ABA SOUTH,1. Urban,806,19020,8. PENSION,2. NO
4. South East,1. Abia,102. ABA SOUTH,1. Urban,806,19024,4. REMITTANCES FROM ABROAD,2. NO
4. South East,1. Abia,102. ABA SOUTH,1. Urban,806,19024,5. REMITTANCES FROM FAMILY WITHIN THE COUNTRY,2. NO
4. South East,1. Abia,102. ABA SOUTH,1. Urban,806,19024,6. ASSISTANCE FROM OTHER NON-FAMILY INDIVIDUALS,2. NO
4. South East,1. Abia,102. ABA SOUTH,1. Urban,806,19024,"7. INCOME FROM PROPERTIES, INVESTMENTS OR SAVINGS",2. NO
4. South East,1. Abia,102. ABA SOUTH,1. Urban,806,19024,8. PENSION,2. NO
4. South East,1. Abia,102. ABA SOUTH,1. Urban,2486,19026,4. REMITTANCES FROM ABROAD,2. NO
4. South East,1. Abia,102. ABA SOUTH,1. Urban,2486,19026,5. REMITTANCES FROM FAMILY WITHIN THE COUNTRY,2. NO
4. South East,1. Abia,102. ABA SOUTH,1. Urban,2486,19026,6. ASSISTANCE FROM OTHER NON-FAMILY INDIVIDUALS,2. NO
4. South East,1. Abia,102. ABA SOUTH,1. Urban,2486,19026,"7. INCOME FROM PROPERTIES, INVESTMENTS OR SAVINGS",2. NO
4. South East,1. Abia,102. ABA SOUTH,1. Urban,2486,19026,8. PENSION,2. NO
4. South East,1. Abia,102. ABA SOUTH,1. Urban,2486,19029,4. REMITTANCES FROM ABROAD,2. NO
4. South East,1. Abia,102. ABA SOUTH,1. Urban,2486,19029,5. REMITTANCES FROM FAMILY WITHIN THE COUNTRY,2. NO
4. South East,1. Abia,102. ABA SOUTH,1. Urban,2486,19029,6. ASSISTANCE FROM OTHER NON-FAMILY INDIVIDUALS,1. YES
4. South East,1. Abia,102. ABA SOUTH,1. Urban,2486,19029,"7. INCOME FROM PROPERTIES, INVESTMENTS OR SAVINGS",2. NO
4. South East,1. Abia,102. ABA SOUTH,1. Urban,2486,19029,8. PENSION,2. NO
4. South East,1. Abia,102. ABA SOUTH,1. Urban,2486,19033,4. REMITTANCES FROM ABROAD,2. NO
4. South East,1. Abia,102. ABA SOUTH,1. Urban,2486,19033,5. REMITTANCES FROM FAMILY WITHIN THE COUNTRY,2. NO
4. South East,1. Abia,102. ABA SOUTH,1. Urban,2486,19033,6. ASSISTANCE FROM OTHER NON-FAMILY INDIVIDUALS,2. NO
4. South East,1. Abia,102. ABA SOUTH,1. Urban,2486,19033,"7. INCOME FROM PROPERTIES, INVESTMENTS OR SAVINGS",2. NO
4. South East,1. Abia,102. ABA SOUTH,1. Urban,2486,19033,8. PENSION,2. NO
4. South East,1. Abia,102. ABA SOUTH,1. Urban,2486,19035,4. REMITTANCES FROM ABROAD,2. NO
