zone,state,lga,sector,ea,hhid,indiv,s2q2,s2q3,s2q4,s2q4_os,s2q5,s2q6,s2q7a,s2q7,s2q7_os,s2q8,s2q8_os,s2q9,s2q9_os
4. South East,1. Abia,115. UMUAHIA NORTH,1. Urban,670,10001,1,2. NO,1. YES,,,1. MALE,56,1. YES,1. HEAD,,,,,
4. South East,1. Abia,115. UMUAHIA NORTH,1. Urban,670,10001,2,2. NO,1. YES,,,2. FEMALE,42,1. YES,2. SPOUSE,,,,,
4. South East,1. Abia,115. UMUAHIA NORTH,1. Urban,670,10001,3,2. NO,1. YES,,,2. FEMALE,12,1. YES,3. OWN CHILD,,,,,
4. South East,1. Abia,115. UMUAHIA NORTH,1. Urban,670,10001,4,2. NO,1. YES,,,2. FEMALE,54,1. YES,12. DOMESTIC HELP (RESIDENT),,,,,
4. South East,1. Abia,115. UMUAHIA NORTH,1. Urban,670,10001,8,2. NO,1. YES,,,1. MALE,9,1. YES,3. OWN CHILD,,,,,
4. South East,1. Abia,115. UMUAHIA NORTH,1. Urban,670,10001,9,2. NO,1. YES,,,1. MALE,3,1. YES,3. OWN CHILD,,,,,
4. South East,1. Abia,115. UMUAHIA NORTH,1. Urban,670,10001,101,2. NO,1. YES,,,2. FEMALE,65,1. YES,7. BROTHER/SISTER,,,,,
4. South East,1. Abia,105. IKWUANO,2. Rural,0,10009,1,2. NO,1. YES,,,1. MALE,45,1. YES,1. HEAD,,,,,
4. South East,1. Abia,105. IKWUANO,2. Rural,0,10009,2,2. NO,1. YES,,,2. FEMALE,34,1. YES,2. SPOUSE,,,,,
4. South East,1. Abia,105. IKWUANO,2. Rural,0,10009,3,2. NO,1. YES,,,2. FEMALE,9,1. YES,3. OWN CHILD,,,,,
4. South East,1. Abia,105. IKWUANO,2. Rural,0,10009,5,2. NO,1. YES,,,2. FEMALE,9,1. YES,3. OWN CHILD,,,,,
4. South East,1. Abia,105. IKWUANO,2. Rural,0,10009,6,2. NO,1. YES,,,2. FEMALE,15,1. YES,7. BROTHER/SISTER,,,,,
4. South East,1. Abia,105. IKWUANO,2. Rural,0,10009,7,2. NO,1. YES,,,1. MALE,5,1. YES,3. OWN CHILD,,,,,
4. South East,1. Abia,105. IKWUANO,2. Rural,0,10009,8,2. NO,1. YES,,,1. MALE,3,1. YES,3. OWN CHILD,,,,,
