zone,state,lga,sector,ea,hhid,interviewer_id,wt_round5,wt_r5panel,s2q0a,s2q0b,filter1,s5cq1,s5cq2__1,s5cq2__2,s5cq2__14,s5cq2__3,s5cq2__4,s5cq2__5,s5cq2__6,s5cq2__7,s5cq2__8,s5cq2__9,s5cq2__10,s5cq2__11,s5cq2__12,s5cq2__13,s5cq2__96,s5cq2_os,s5cq3,s5cq4__1,s5cq4__2,s5cq4__3,s5cq4__4,s5cq4__5,s5cq4__6,s5cq4__7,s5cq4__8,s5cq4__9,s5cq4__10,s5cq4__11,s5cq4__99,s5cq4__98,s5cq5,filter2,s5cq6,s5cq7__1,s5cq7__2,s5cq7__3,s5cq7__4,s5cq7__5,s5cq7__6,s5cq7__7,s5cq7__96,s5cq7_os,s5cq8,s5cq9__1,s5cq9__2,s5cq9__3,s5cq9__4,s5cq9__5,s5cq9__6,s5cq9__7,emp_case,emp_respondent,s6q1,s6q1a,s6q1b,s6q1c,s6q1c_os,s6q3,s6q3_os,s6q3a,s6q3b,s6q3b_os,s6q4a,s6q4b,s6q4b_os,s6q5,s6q6,s6q6a,s6q8b1,s6q8c1,nfe_case,s6q11,s6q11a,s6q11b,s6q11b_os,s6q11b1,s6q11c,s6q12,s6q13,s6q14,s6q14_os,crop_filter1,s6q16,s6aq9,s6aq12,s6aq10,crop_filter2,s6aq11,livest_filter3,s6bq1,s6bq6a,s6bq6,livest_filter4,s6bq7,s12q3__0,s12q3__1,s12q3__2,s12q3__3,s12q3__4,s12q3__5,s12q3__6,s12q3__7,s12q4__0,s12q4__1,s12q4__2,s12q4__3,s12q5,s12q9,s12q10,s12q10_os,s12q10a,s12q11,s12q14
4. South East,1. Abia,115. UMUAHIA NORTH,1. Urban,670,10001,2,29113.92818720709,32337.05125597254,2. NO,2. NO,1. YES,2. NO,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,1. YES,1. YES,1,1,1,1,1,1,1,0,,1. YES,0,0,0,1,1,0,1,1. RESPONDENT WAS WORKING AT THE TIME OF ROUND 4 INTERVIEW,1,1. YES,,,,,,,,,,1. YES,,,"9. PERSONAL SERVICES, EDUCATION, HEALTH, CULTURE, SPORT, DOMESTIC WORK, OTHER",1. In your own non-farm business,,53,53,2. NFE WAS OPERATING AT ROUND 4,,1. Open,,,,,,2. The same as in July,,,1. YES,,4. Lower,2. NO,,2. NO,,2. NO,2. NO,,,3. NO PREVIOUS RESPONSE,,1,0,0,0,0,0,0,0,0,0,0,1,1. COMPLETE,1,5. IGBO,,,1,2020-09-10T18:36:59
4. South East,1. Abia,105. IKWUANO,2. Rural,0,10009,23,25272.0157260114,31786.396396839493,2. NO,2. NO,1. YES,1. YES,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,1,,2. NO,,,,,,,,,,,,,,,,,,,1. RESPONDENT WAS WORKING AT THE TIME OF ROUND 4 INTERVIEW,2,1. YES,,,,,,,,,,1. YES,,,"1. AGRICULTURE, HUNTING, FISHING","3. In a family farm, growing crops, raising livestock, or fishing","3. Some will be sold, some will be consumed by the family",18,18,1. NFE TEMPORARILY CLOSED AT LAST INTERVIEW,,1. Open,,,,,,,,,1. YES,,1. Much higher,1. YES,,1. YES,2. Higher,1. YES,,2. NO,,2. NO,,0,0,0,0,0,1,0,1,0,0,1,0,1. COMPLETE,2,1. ENGLISH,,,0,2020-09-11T13:34:52
4. South East,1. Abia,111. OSISIOMA NORTH,1. Urban,1146,10034,2,7349.582821063336,8795.747431701118,2. NO,2. NO,1. YES,2. NO,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,1. YES,1. YES,0,1,1,1,1,0,0,0,,2. NO,,,,,,,,1. RESPONDENT WAS WORKING AT THE TIME OF ROUND 4 INTERVIEW,2,1. YES,,,,,,,,,,1. YES,,,"1. AGRICULTURE, HUNTING, FISHING","3. In a family farm, growing crops, raising livestock, or fishing",1. Only for sale,6,20,1. NFE TEMPORARILY CLOSED AT LAST INTERVIEW,,2. Temporarily closed,3. NO COSTUMERS / FEWER CUSTOMERS,,2. NO,,,,,,1. YES,,4. Lower,1. YES,,1. YES,4. Lower,2. NO,2. NO,,,3. NO PREVIOUS RESPONSE,,1,0,0,0,0,0,0,0,0,1,0,0,1. COMPLETE,2,5. IGBO,,,0,2020-09-11T14:09:34
4. South East,1. Abia,111. OSISIOMA NORTH,1. Urban,1146,10035,2,9644.029998049566,9571.90650314013,1. YES,2. NO,2. NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1. RESPONDENT WAS WORKING AT THE TIME OF ROUND 4 INTERVIEW,1,1. YES,,,,,,,,,,2. NO,13. FOCUS ON ANOTHER ACTIVITY,,"5. BUYING & SELLING GOODS, REPAIR OF GOODS, HOTELS & RESTAURANTS",1. In your own non-farm business,,90,90,2. NFE WAS OPERATING AT ROUND 4,,1. Open,,,,,,2. The same as in July,,,2. NO,,,,,4. NOT APPLICABLE,,2. NO,2. NO,,,3. NO PREVIOUS RESPONSE,,1,0,0,0,0,0,0,0,1,0,0,0,1. COMPLETE,1,5. IGBO,,,0,2020-09-10T08:41:05
4. South East,1. Abia,111. OSISIOMA NORTH,1. Urban,1146,10038,2,10782.441306723797,10878.321735539643,2. NO,2. NO,1. YES,1. YES,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,0,0,0,0,3. Satisfied,2. NO,,,,,,,,,,,,,,,,,,,1. RESPONDENT WAS WORKING AT THE TIME OF ROUND 4 INTERVIEW,1,1. YES,,,,,,,,,,1. YES,,,,1. In your own non-farm business,,98,98,2. NFE WAS OPERATING AT ROUND 4,,1. Open,,,,,,3. Less than in July,1. USUAL PLACE OF BUSINESS CLOSED DUE TO CORONAVIRUS RECOMMENDATIONS,,1. YES,,3. The same,1. YES,,2. NO,,2. NO,2. NO,,,3. NO PREVIOUS RESPONSE,,1,0,0,0,0,0,0,0,0,0,0,1,1. COMPLETE,1,5. IGBO,,,0,2020-09-09T20:32:02
4. South East,1. Abia,111. OSISIOMA NORTH,1. Urban,1146,10040,16,16649.562085007292,14309.29820524084,2. NO,2. NO,2. NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1. RESPONDENT WAS WORKING AT THE TIME OF ROUND 4 INTERVIEW,1,1. YES,,,,,,,,,,1. YES,,,"1. AGRICULTURE, HUNTING, FISHING",4. As an employee for a private company or another individual (not household member),,48,48,3. NFE WAS NOT OPERATING OR PERMANENTLY CLOSED AT ROUND 4,2. NO,,,,,,,,,,1. YES,,4. Lower,2. NO,,1. YES,,2. NO,2. NO,,,3. NO PREVIOUS RESPONSE,,1,0,0,0,0,0,0,0,1,0,0,0,1. COMPLETE,1,1. ENGLISH,,,0,2020-09-07T16:36:45
4. South East,1. Abia,102. ABA SOUTH,1. Urban,1690,10054,2,10547.588757889062,9588.215165355909,2. NO,2. NO,1. YES,2. NO,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,1. YES,1. YES,0,0,0,0,1,1,0,0,,2. NO,,,,,,,,1. RESPONDENT WAS WORKING AT THE TIME OF ROUND 4 INTERVIEW,2,1. YES,,,,,,,,,,2. NO,96. OTHER (SPECIFY),dueto heavy rainfall,"9. PERSONAL SERVICES, EDUCATION, HEALTH, CULTURE, SPORT, DOMESTIC WORK, OTHER",4. As an employee for a private company or another individual (not household member),,5,42.25,2. NFE WAS OPERATING AT ROUND 4,,1. Open,,,,,,1. Higher than in July,,,1. YES,,4. Lower,1. YES,,1. YES,4. Lower,2. NO,2. NO,,,3. NO PREVIOUS RESPONSE,,1,0,0,0,0,0,0,0,1,0,0,0,1. COMPLETE,2,5. IGBO,,,0,2020-09-09T12:06:00
4. South East,1. Abia,102. ABA SOUTH,1. Urban,1690,10056,2,16232.787172843513,16604.11584791335,2. NO,2. NO,2. NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1. RESPONDENT WAS WORKING AT THE TIME OF ROUND 4 INTERVIEW,201,1. YES,,,,,,,,,,1. YES,,,"6. TRANSPORT, DRIVING, POST, TRAVEL AGENCIES",1. In your own non-farm business,,42,66,2. NFE WAS OPERATING AT ROUND 4,,1. Open,,,,,,1. Higher than in July,,,1. YES,,2. Higher,2. NO,,1. YES,,2. NO,2. NO,,,3. NO PREVIOUS RESPONSE,,1,0,0,0,0,0,0,0,0,0,0,1,1. COMPLETE,201,5. IGBO,,,0,2020-09-09T20:47:49
4. South East,1. Abia,102. ABA SOUTH,1. Urban,1690,10057,2,8777.381826961577,9252.540155295737,1. YES,2. NO,1. YES,1. YES,,,,,,,,,,,,,,,,,,0,1,0,0,1,0,1,1,0,0,0,0,0,,2. NO,,,,,,,,,,,,,,,,,,,1. RESPONDENT WAS WORKING AT THE TIME OF ROUND 4 INTERVIEW,2,2. NO,1. YES,1. WITHIN ONE WEEK,2. BUSINESS / OFFICE CLOSED FOR ANOTHER REASON,,,,,,,,,,4. CONSTRUCTION,,,,,1. NFE TEMPORARILY CLOSED AT LAST INTERVIEW,,1. Open,,,,,,,,,2. NO,,,,,4. NOT APPLICABLE,,2. NO,2. NO,,,3. NO PREVIOUS RESPONSE,,1,0,0,0,0,0,0,0,1,0,0,0,1. COMPLETE,2,5. IGBO,,,0,2020-09-12T17:15:51
4. South East,1. Abia,102. ABA SOUTH,1. Urban,1690,10060,2,7843.293386211564,8686.724636198007,1. YES,2. NO,1. YES,2. NO,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,1. YES,1. YES,1,0,0,0,1,1,1,0,,2. NO,,,,,,,,1. RESPONDENT WAS WORKING AT THE TIME OF ROUND 4 INTERVIEW,2,1. YES,,,,,,,,,,1. YES,,,"1. AGRICULTURE, HUNTING, FISHING",1. In your own non-farm business,,25,25,2. NFE WAS OPERATING AT ROUND 4,,1. Open,,,,,,1. Higher than in July,,,1. YES,,3. The same,1. YES,,1. YES,2. Higher,2. NO,2. NO,,,3. NO PREVIOUS RESPONSE,,1,0,0,0,0,0,0,0,1,0,0,0,1. COMPLETE,2,5. IGBO,,,1,2020-09-11T12:57:47
