zone,state,lga,sector,ea,hhid,pnumber_id,nbhhme,s1q13,s1q15,s1q15_os
4. South East,1. Abia,115. UMUAHIA NORTH,1. Urban,670,10001,1,1,1. YES,1. HEAD,
4. South East,1. Abia,115. UMUAHIA NORTH,1. Urban,670,10001,2,2,1. YES,2. SPOUSE,
4. South East,1. Abia,115. UMUAHIA NORTH,1. Urban,670,10001,3,4,1. YES,12. DOMESTIC HELP,
4. South East,1. Abia,115. UMUAHIA NORTH,1. Urban,670,10001,4,,2. NO,,
4. South East,1. Abia,105. IKWUANO,2. Rural,0,10009,1,2,1. YES,2. SPOUSE,
4. South East,1. Abia,105. IKWUANO,2. Rural,0,10009,2,1,1. YES,1. HEAD,
4. South East,1. Abia,105. IKWUANO,2. Rural,0,10009,3,,2. NO,,
4. South East,1. Abia,111. OSISIOMA NORTH,1. Urban,1146,10034,1,2,1. YES,1. HEAD,
4. South East,1. Abia,111. OSISIOMA NORTH,1. Urban,1146,10034,2,8,1. YES,3. OWN CHILD,
4. South East,1. Abia,111. OSISIOMA NORTH,1. Urban,1146,10034,3,,2. NO,,
4. South East,1. Abia,111. OSISIOMA NORTH,1. Urban,1146,10035,1,1,1. YES,1. HEAD,
4. South East,1. Abia,111. OSISIOMA NORTH,1. Urban,1146,10035,2,5,1. YES,3. OWN CHILD,
4. South East,1. Abia,111. OSISIOMA NORTH,1. Urban,1146,10035,3,2,1. YES,2. SPOUSE,
4. South East,1. Abia,111. OSISIOMA NORTH,1. Urban,1146,10035,4,,2. NO,,
4. South East,1. Abia,111. OSISIOMA NORTH,1. Urban,1146,10038,1,1,1. YES,1. HEAD,
4. South East,1. Abia,111. OSISIOMA NORTH,1. Urban,1146,10038,2,1,1. YES,1. HEAD,
4. South East,1. Abia,111. OSISIOMA NORTH,1. Urban,1146,10038,3,1,1. YES,1. HEAD,
4. South East,1. Abia,111. OSISIOMA NORTH,1. Urban,1146,10038,4,,2. NO,,
4. South East,1. Abia,111. OSISIOMA NORTH,1. Urban,1146,10040,1,1,1. YES,1. HEAD,
4. South East,1. Abia,111. OSISIOMA NORTH,1. Urban,1146,10040,2,,2. NO,,
4. South East,1. Abia,102. ABA SOUTH,1. Urban,1690,10054,1,2,1. YES,2. SPOUSE,
4. South East,1. Abia,102. ABA SOUTH,1. Urban,1690,10054,2,,2. NO,,
4. South East,1. Abia,102. ABA SOUTH,1. Urban,1690,10056,1,1,1. YES,1. HEAD,
4. South East,1. Abia,102. ABA SOUTH,1. Urban,1690,10056,2,,2. NO,,
4. South East,1. Abia,102. ABA SOUTH,1. Urban,1690,10057,1,1,1. YES,1. HEAD,
4. South East,1. Abia,102. ABA SOUTH,1. Urban,1690,10060,1,2,1. YES,2. SPOUSE,
4. South East,1. Abia,102. ABA SOUTH,1. Urban,1690,10060,2,4,1. YES,3. OWN CHILD,
4. South East,1. Abia,102. ABA SOUTH,1. Urban,1690,10060,3,1,1. YES,1. HEAD,
4. South East,1. Abia,102. ABA SOUTH,1. Urban,1690,10060,4,4,1. YES,3. OWN CHILD,
4. South East,1. Abia,102. ABA SOUTH,1. Urban,1690,10060,5,,2. NO,,
4. South East,1. Abia,107. ISIALA NGWA SOUTH,2. Rural,1044,10067,1,2,1. YES,2. SPOUSE,
4. South East,1. Abia,107. ISIALA NGWA SOUTH,2. Rural,1044,10067,2,2,1. YES,2. SPOUSE,
4. South East,1. Abia,107. ISIALA NGWA SOUTH,2. Rural,1044,10067,3,1,1. YES,1. HEAD,
4. South East,1. Abia,107. ISIALA NGWA SOUTH,2. Rural,1044,10069,1,1,1. YES,1. HEAD,
4. South East,1. Abia,107. ISIALA NGWA SOUTH,2. Rural,1044,10069,2,1,1. YES,1. HEAD,
4. South East,1. Abia,117. UMUNNEOCHI,2. Rural,560,10071,1,1,1. YES,1. HEAD,
4. South East,1. Abia,117. UMUNNEOCHI,2. Rural,560,10071,2,,2. NO,,
4. South East,1. Abia,117. UMUNNEOCHI,2. Rural,560,10077,1,2,1. YES,1. HEAD,
4. South East,1. Abia,117. UMUNNEOCHI,2. Rural,560,10077,2,,2. NO,,
4. South East,1. Abia,117. UMUNNEOCHI,2. Rural,560,10079,1,1,1. YES,1. HEAD,
4. South East,1. Abia,117. UMUNNEOCHI,2. Rural,560,10079,2,2,1. YES,2. SPOUSE,
4. South East,1. Abia,117. UMUNNEOCHI,2. Rural,560,10079,3,,2. NO,,
4. South East,1. Abia,105. IKWUANO,2. Rural,638,10096,1,5,1. YES,3. OWN CHILD,
4. South East,1. Abia,105. IKWUANO,2. Rural,638,10096,2,,2. NO,,
4. South East,1. Abia,108. ISUIKWATO,2. Rural,904,10103,1,4,1. YES,3. OWN CHILD,
4. South East,1. Abia,108. ISUIKWATO,2. Rural,904,10103,2,1,1. YES,1. HEAD,
4. South East,1. Abia,108. ISUIKWATO,2. Rural,904,10103,3,,2. NO,,
4. South East,1. Abia,108. ISUIKWATO,2. Rural,904,10106,1,2,1. YES,3. OWN CHILD,
4. South East,1. Abia,108. ISUIKWATO,2. Rural,904,10106,2,,2. NO,,
4. South East,1. Abia,108. ISUIKWATO,2. Rural,904,10108,1,3,1. YES,2. SPOUSE,
4. South East,1. Abia,108. ISUIKWATO,2. Rural,904,10108,2,4,1. YES,1. HEAD,
4. South East,1. Abia,108. ISUIKWATO,2. Rural,904,10108,3,,2. NO,,
4. South East,1. Abia,102. ABA SOUTH,1. Urban,46,19001,1,1,1. YES,1. HEAD,
