zone,state,lga,sector,ea,hhid,interviewer_id,wt_round6,wt_r6panel,s2q0a,s2q0b,s3aq1,s3aq2,s3aq3,s3aq4,s3aq5,s3aq6__1,s3aq6__2,s3aq6__3,s3aq7,s3aq8__1,s3aq8__2,s3aq8__3,emp_case,s6q1,s6q1a,s6q1b,s6q1c,s6q1c_os,s6q3,s6q3_os,s6q3a,s6q3b,s6q3b_os,s6q4a,s6q4b,s6q4b_os,s6q5,s6q6,s6q6a,s6q8b1,s6q8c1,nfe_case,s6q11,s6q11a,s6q11b,s6q11b_os,s6q11b1,s6q11c,s6q12,s6q13,s6q14,s6q14_os,filter,s5cq4__1,s5cq4__2,s5cq4__3,s5cq4__4,s5cq4__5,s5cq4__6,s5cq4__7,s5cq4__8,s5cq4__9,s5cq4__10,s5cq4__11,s5cq4__99,s5cq4__98,s9aq1,s9aq2,s9aq3__1,s9aq3__2,s9aq3__3,s9aq3__4,s9aq3__5,s9aq3__6,s9aq3__96,s9aq3_os,s12q3__0,s12q3__1,s12q3__2,s12q3__3,s12q3__4,s12q3__5,s12q3__6,s12q3__7,s12q4__0,s12q4__1,s12q4__2,s12q4__3,s12q5,s12q9,s12q10,s12q10_os,s12q10a,s12q11,s12q14
4. South East,1. Abia,115. UMUAHIA NORTH,1. Urban,670,10001,2,27281.24090284406,31684.35083647092,2. NO,2. NO,1. YES,1. YES,1. YES,1. YES,1. YES,0,1,0,2. OTHER,1,0,0,1. RESPONDENT WAS WORKING AT THE TIME OF ROUND 5 INTERVIEW,1. YES,,,,,,,,,,1. YES,,,"9. PERSONAL SERVICES, EDUCATION, HEALTH, CULTURE, SPORT, DOMESTIC WORK, OTHER",1. In your own non-farm business,,53,53,2. NFE WAS OPERATING AT ROUND 5,,1. Open,,,,,,3. Less than in August,3. NO COSTUMERS / FEWER CUSTOMERS,,1. YES,1,1,1,1,0,1,1,0,0,0,1,0,0,1. YES,3. NOT SURE,0,0,1,1,0,0,0,,1,0,0,0,0,0,0,0,0,0,0,1,1. COMPLETE,1,1. ENGLISH,,,0,2020-10-09T19:43:36
4. South East,1. Abia,105. IKWUANO,2. Rural,0,10009,23,23239.024999754343,30538.915393185045,2. NO,2. NO,2. NO,1. YES,1. YES,1. YES,1. YES,0,1,0,2. OTHER,1,1,0,1. RESPONDENT WAS WORKING AT THE TIME OF ROUND 5 INTERVIEW,1. YES,,,,,,,,,,1. YES,,,"1. AGRICULTURE, HUNTING, FISHING","3. In a family farm, growing crops, raising livestock, or fishing","3. Some will be sold, some will be consumed by the family",7,10,2. NFE WAS OPERATING AT ROUND 5,,1. Open,,,,,,2. The same as in August,,,2. NO,,,,,,,,,,,,,,1. YES,2. NO,0,1,1,0,0,0,0,,0,0,0,0,1,0,0,1,0,0,1,0,1. COMPLETE,2,1. ENGLISH,,,0,2020-10-11T14:11:38
4. South East,1. Abia,111. OSISIOMA NORTH,1. Urban,1146,10034,2,6936.163607364619,8479.499760535195,2. NO,2. NO,2. NO,2. NO,1. YES,1. YES,1. YES,0,1,0,2. OTHER,0,1,0,1. RESPONDENT WAS WORKING AT THE TIME OF ROUND 5 INTERVIEW,1. YES,,,,,,,,,,1. YES,,,"1. AGRICULTURE, HUNTING, FISHING","3. In a family farm, growing crops, raising livestock, or fishing","3. Some will be sold, some will be consumed by the family",2,9,1. NFE TEMPORARILY CLOSED AT ROUND 5,,2. Temporarily closed,3. NO COSTUMERS / FEWER CUSTOMERS,,2. NO,,,,,,2. NO,,,,,,,,,,,,,,1. YES,1. YES,,,,,,,,,1,0,0,0,0,0,0,0,0,1,0,0,1. COMPLETE,2,5. IGBO,,,0,2020-10-13T09:01:43
4. South East,1. Abia,111. OSISIOMA NORTH,1. Urban,1146,10035,2,9627.07854334484,9776.628307143015,1. YES,2. NO,2. NO,2. NO,2. NO,1. YES,1. YES,0,1,0,2. OTHER,0,1,0,1. RESPONDENT WAS WORKING AT THE TIME OF ROUND 5 INTERVIEW,1. YES,,,,,,,,,,1. YES,,,"5. BUYING & SELLING GOODS, REPAIR OF GOODS, HOTELS & RESTAURANTS",1. In your own non-farm business,,84,84,2. NFE WAS OPERATING AT ROUND 5,,1. Open,,,,,,2. The same as in August,,,2. NO,,,,,,,,,,,,,,1. YES,3. NOT SURE,0,0,0,0,0,1,0,,1,0,0,0,0,0,0,0,1,0,0,0,1. COMPLETE,1,5. IGBO,,,0,2020-10-13T18:32:15
4. South East,1. Abia,111. OSISIOMA NORTH,1. Urban,1146,10038,2,11172.338925123444,11264.860191529262,2. NO,2. NO,2. NO,2. NO,1. YES,2. NO,1. YES,0,1,0,2. OTHER,1,0,0,1. RESPONDENT WAS WORKING AT THE TIME OF ROUND 5 INTERVIEW,1. YES,,,,,,,,,,1. YES,,,,1. In your own non-farm business,,98,98,2. NFE WAS OPERATING AT ROUND 5,,1. Open,,,,,,2. The same as in August,,,1. YES,1,1,1,1,0,1,1,1,1,0,0,0,0,1. YES,1. YES,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,1,1. COMPLETE,1,5. IGBO,,,0,2020-10-10T13:27:56
4. South East,1. Abia,111. OSISIOMA NORTH,1. Urban,1146,10040,23,18192.690947110375,14868.17720313698,2. NO,2. NO,2. NO,1. YES,1. YES,1. YES,1. YES,0,1,0,2. OTHER,1,1,0,1. RESPONDENT WAS WORKING AT THE TIME OF ROUND 5 INTERVIEW,1. YES,,,,,,,,,,1. YES,,,"1. AGRICULTURE, HUNTING, FISHING",4. As an employee for a private company or another individual (not household member),,48,48,3. NFE WAS NOT OPERATING OR WAS PERMANENTLY CLOSED AT ROUND 5,1. YES,2. Temporarily closed,1. USUAL PLACE OF BUSINESS CLOSED DUE TO CORONAVIRUS RECOMMENDATIONS,,2. NO,Buying and selling stocks,"5. BUYING & SELLING GOODS, REPAIR OF GOODS, HOTELS & RESTAURANTS",,,,2. NO,,,,,,,,,,,,,,1. YES,2. NO,0,1,0,1,1,0,0,,1,0,0,0,0,0,0,0,1,0,0,0,1. COMPLETE,1,1. ENGLISH,,,0,2020-10-23T15:29:41
4. South East,1. Abia,102. ABA SOUTH,1. Urban,1690,10054,2,11140.552289025638,9837.399823719523,2. NO,2. NO,2. NO,2. NO,1. YES,1. YES,1. YES,0,1,0,2. OTHER,0,1,0,1. RESPONDENT WAS WORKING AT THE TIME OF ROUND 5 INTERVIEW,1. YES,,,,,,,,,,1. YES,,,"9. PERSONAL SERVICES, EDUCATION, HEALTH, CULTURE, SPORT, DOMESTIC WORK, OTHER",4. As an employee for a private company or another individual (not household member),,32.5,32.5,2. NFE WAS OPERATING AT ROUND 5,,1. Open,,,,,,1. Higher than in August,,,1. YES,1,1,1,1,1,1,1,1,1,0,0,0,0,1. YES,1. YES,,,,,,,,,1,0,0,0,0,0,0,0,1,0,0,0,1. COMPLETE,2,5. IGBO,,,0,2020-10-09T21:11:33
4. South East,1. Abia,102. ABA SOUTH,1. Urban,1690,10056,2,16361.26705701226,16591.125525193063,2. NO,2. NO,2. NO,2. NO,1. YES,1. YES,1. YES,0,1,0,2. OTHER,0,1,0,1. RESPONDENT WAS WORKING AT THE TIME OF ROUND 5 INTERVIEW,1. YES,,,,,,,,,,1. YES,,,"6. TRANSPORT, DRIVING, POST, TRAVEL AGENCIES",1. In your own non-farm business,,78,78,2. NFE WAS OPERATING AT ROUND 5,,1. Open,,,,,,3. Less than in August,96. OTHER (SPECIFY),dueto heavyrain fall bad roads,2. NO,,,,,,,,,,,,,,1. YES,1. YES,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,1,1. COMPLETE,201,5. IGBO,,,0,2020-10-13T20:46:25
4. South East,1. Abia,102. ABA SOUTH,1. Urban,1690,10057,2,8910.594583262759,9515.833547050072,1. YES,2. NO,1. YES,2. NO,2. NO,2. NO,1. YES,1,0,0,2. OTHER,0,1,0,2. RESPONDENT WAS NOT WORKING AT THE TIME OF ROUND 5 INTERVIEW,1. YES,,,,,,,,,,,,,"5. BUYING & SELLING GOODS, REPAIR OF GOODS, HOTELS & RESTAURANTS",1. In your own non-farm business,,8,12,2. NFE WAS OPERATING AT ROUND 5,,1. Open,,,,,,1. Higher than in August,,,2. NO,,,,,,,,,,,,,,1. YES,3. NOT SURE,0,1,1,0,0,0,1,,1,0,0,0,0,0,0,0,1,0,0,0,1. COMPLETE,2,5. IGBO,,,0,2020-10-12T10:49:31
4. South East,1. Abia,102. ABA SOUTH,1. Urban,1690,10060,2,7708.965696058386,8822.932030663298,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,1. YES,0,1,0,2. OTHER,1,0,0,1. RESPONDENT WAS WORKING AT THE TIME OF ROUND 5 INTERVIEW,1. YES,,,,,,,,,,1. YES,,,"1. AGRICULTURE, HUNTING, FISHING",1. In your own non-farm business,,20,20,2. NFE WAS OPERATING AT ROUND 5,,1. Open,,,,,,1. Higher than in August,,,1. YES,1,1,1,1,1,0,1,1,0,0,0,0,0,2. NO,2. NO,0,0,0,0,0,1,0,,1,0,0,0,0,0,0,0,1,0,0,0,1. COMPLETE,2,5. IGBO,,,4,2020-10-09T09:10:42
