zone,state,lga,sector,ea,hhid,interviewer_id,wt_round7,wt_r7panel,s5q1f,s5q1f_os,s5q1g,s5q1h,s5q1h_os,s5q1i,s5q1i_os,s5q1j,s5q1k,s5q1k_os,s5q1l,s5q1m,s5q1m_os,s5q1c,s5q1d,s5q1e,emp_case,s6q1,s6q1a,s6q1b,s6q1c,s6q1c_os,s6q3,s6q3_os,s6q3a,s6q3b,s6q3b_os,s6q4a,s6q4b,s6q4b_os,s6q5,s6q6,s6q6a,s6q8b1,nfe_case,s6q11,s6q11a,s6q11b,s6q11b_os,s6q11b1,s6q11c,s6q12,s6q13,s6q14,s6q14_os,s8q1,s8q2,s8q3,s8q4,s8q5,s8q6,s8q7,s8q8,s9q1,s9q3__1,s9q3__2,s9q3__3,s9q3__4,s9q3__5,s9q3__6,s9q3__7,s9q3__8,s9q3__96,s9q3_os,s9q2,s9q4,s9q5,s9q6__1,s9q6__2,s9q6__3,s9q6__4,s9q6__5,s9q6__6,s9q6__96,s9q6_os,s9q7,s9q8,s12q3__0,s12q3__1,s12q3__2,s12q3__3,s12q3__4,s12q3__5,s12q3__6,s12q3__7,s12q4__0,s12q4__1,s12q4__2,s12q4__3,s12q5,s12q9,s12q10,s12q10_os,s12q10a,s12q11,s12q14
4. South East,1. Abia,115. UMUAHIA NORTH,1. Urban,670,10001,2,24614.782437670176,32577.126205734297,5. TUBE WELL/BOREHOLE,,"2. NO, ALWAYS SUFFICIENT",,,5. TUBE WELL/BOREHOLE,,1. YES,,,1. YES,,,1. All of the time,1. All of the time,1. ONE,1. RESPONDENT WAS WORKING AT THE TIME OF ROUND 6 INTERVIEW,1. YES,,,,,,,,,,1. YES,,,"9. PERSONAL SERVICES, EDUCATION, HEALTH, CULTURE, SPORT, DOMESTIC WORK, OTHER",1. In your own non-farm business,,32,2. NFE WAS OPERATING AT ROUND 6,,1. Open,,,,,,1. Higher than in September,,,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,4. Not worried at all,1,0,0,0,0,0,0,0,0,,1. A substantial threat,2. NO,,,,,,,,,,1. YES,1. Gap has widened,1,0,0,0,0,0,0,0,0,0,0,1,1. COMPLETE,1,5. IGBO,,,0,2020-11-08T19:12:16
4. South East,1. Abia,105. IKWUANO,2. Rural,0,10009,23,20335.934351354757,31671.68956034705,14. BOTTLED WATER/SACHET WATER/ WATER KIOSK,,"2. NO, ALWAYS SUFFICIENT",,,11. TANKER TRUCK/WATER VENDOR,,1. YES,,,1. YES,,,4. Some of the time,5. None of the time,2. TWO,1. RESPONDENT WAS WORKING AT THE TIME OF ROUND 6 INTERVIEW,1. YES,,,,,,,,,,1. YES,,,"1. AGRICULTURE, HUNTING, FISHING","3. In a family farm, growing crops, raising livestock, or fishing","3. Some will be sold, some will be consumed by the family",2,2. NFE WAS OPERATING AT ROUND 6,,2. Temporarily closed,9. SEASONAL CLOSURE,,2. NO,,,,,,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. Somewhat worried,,,,,,,,,,,2. A moderate threat,2. NO,,,,,,,,,,1. YES,1. Gap has widened,0,0,0,0,0,0,0,1,0,0,1,0,1. COMPLETE,2,1. ENGLISH,,,0,2020-11-08T16:49:34
4. South East,1. Abia,111. OSISIOMA NORTH,1. Urban,1146,10034,6,6186.321625280128,8573.74438912399,14. BOTTLED WATER/SACHET WATER/ WATER KIOSK,,"2. NO, ALWAYS SUFFICIENT",,,5. TUBE WELL/BOREHOLE,,2. NO,7. CANNOT AFFORD IT,,1. YES,,,1. All of the time,1. All of the time,1. ONE,1. RESPONDENT WAS WORKING AT THE TIME OF ROUND 6 INTERVIEW,2. NO,1. YES,1. WITHIN ONE WEEK,96. OTHER (SPECIFY),NO TRANSPORT TO CARRY MY GOODS,,,,,,,,,"1. AGRICULTURE, HUNTING, FISHING",,,,1. NFE TEMPORARILY CLOSED AT ROUND 6,,1. Open,,,,,,,,,1. YES,1. YES,2. NO,1. YES,1. YES,2. NO,2. NO,2. NO,1. Very worried,,,,,,,,,,,1. A substantial threat,1. YES,2. NO,,,,,,,,,1. YES,3. Gap has narrowed,1,0,0,0,0,0,0,0,1,0,0,0,1. COMPLETE,2,5. IGBO,,,0,2020-11-11T13:24:01
4. South East,1. Abia,111. OSISIOMA NORTH,1. Urban,1146,10035,2,8997.340612951686,9799.356618452777,5. TUBE WELL/BOREHOLE,,"2. NO, ALWAYS SUFFICIENT",,,5. TUBE WELL/BOREHOLE,,1. YES,,,1. YES,,,4. Some of the time,4. Some of the time,0. NONE,1. RESPONDENT WAS WORKING AT THE TIME OF ROUND 6 INTERVIEW,1. YES,,,,,,,,,,1. YES,,,"5. BUYING & SELLING GOODS, REPAIR OF GOODS, HOTELS & RESTAURANTS",1. In your own non-farm business,,78,2. NFE WAS OPERATING AT ROUND 6,,1. Open,,,,,,1. Higher than in September,,,1. YES,1. YES,1. YES,1. YES,1. YES,2. NO,2. NO,2. NO,4. Not worried at all,0,0,0,0,0,1,0,0,0,,1. A substantial threat,2. NO,,,,,,,,,,1. YES,1. Gap has widened,1,0,0,0,0,0,0,0,1,0,0,0,1. COMPLETE,1,5. IGBO,,,0,2020-11-07T19:59:32
4. South East,1. Abia,111. OSISIOMA NORTH,1. Urban,1146,10038,2,11142.609048573187,11305.909599403314,5. TUBE WELL/BOREHOLE,,"2. NO, ALWAYS SUFFICIENT",,,5. TUBE WELL/BOREHOLE,,1. YES,,,1. YES,,,4. Some of the time,5. None of the time,3. THREE,1. RESPONDENT WAS WORKING AT THE TIME OF ROUND 6 INTERVIEW,1. YES,,,,,,,,,,1. YES,,,,1. In your own non-farm business,,84,2. NFE WAS OPERATING AT ROUND 6,,1. Open,,,,,,1. Higher than in September,,,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,2. NO,4. Not worried at all,0,0,1,0,0,0,0,0,0,,1. A substantial threat,2. NO,,,,,,,,,,1. YES,1. Gap has widened,1,0,0,0,0,0,0,0,0,0,0,1,1. COMPLETE,1,5. IGBO,,,0,2020-11-10T20:45:52
4. South East,1. Abia,111. OSISIOMA NORTH,1. Urban,1146,10040,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5. NOBODY ANSWERING,,,,,,2020-11-20T20:25:57
4. South East,1. Abia,102. ABA SOUTH,1. Urban,1690,10054,2,13408.292493759473,10138.05965220967,5. TUBE WELL/BOREHOLE,,"1. YES, AT LEAST ONCE",1. WATER SUPPLY NO LONGER AVAILABLE,,5. TUBE WELL/BOREHOLE,,1. YES,,,1. YES,,,1. All of the time,2. Most of the time,1. ONE,1. RESPONDENT WAS WORKING AT THE TIME OF ROUND 6 INTERVIEW,1. YES,,,,,,,,,,1. YES,,,"9. PERSONAL SERVICES, EDUCATION, HEALTH, CULTURE, SPORT, DOMESTIC WORK, OTHER",4. As an employee for a private company or another individual (not household member),,32.5,2. NFE WAS OPERATING AT ROUND 6,,1. Open,,,,,,3. Less than in September,96. OTHER (SPECIFY),because i was  selling only one item(ugu) but now i have added garri to the goods being sold,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,2. NO,1. Very worried,,,,,,,,,,,1. A substantial threat,2. NO,,,,,,,,,,1. YES,1. Gap has widened,1,0,0,0,0,0,0,0,1,0,0,0,1. COMPLETE,2,5. IGBO,,,0,2020-11-12T19:55:52
4. South East,1. Abia,102. ABA SOUTH,1. Urban,1690,10056,2,17432.80550668752,16361.206294638612,5. TUBE WELL/BOREHOLE,,"2. NO, ALWAYS SUFFICIENT",,,5. TUBE WELL/BOREHOLE,,1. YES,,,1. YES,,,4. Some of the time,1. All of the time,0. NONE,1. RESPONDENT WAS WORKING AT THE TIME OF ROUND 6 INTERVIEW,1. YES,,,,,,,,,,1. YES,,,"6. TRANSPORT, DRIVING, POST, TRAVEL AGENCIES",1. In your own non-farm business,,3,2. NFE WAS OPERATING AT ROUND 6,,1. Open,,,,,,2. The same as in September,,,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,2. NO,2. Somewhat worried,,,,,,,,,,,1. A substantial threat,2. NO,,,,,,,,,,2. NO,1. Gap has widened,1,0,0,0,0,0,0,0,0,0,0,1,1. COMPLETE,201,5. IGBO,,,0,2020-11-12T22:22:44
4. South East,1. Abia,102. ABA SOUTH,1. Urban,1690,10057,2,9219.726134322562,9827.403735940965,5. TUBE WELL/BOREHOLE,,"2. NO, ALWAYS SUFFICIENT",,,5. TUBE WELL/BOREHOLE,,1. YES,,,1. YES,,,1. All of the time,2. Most of the time,1. ONE,2. RESPONDENT WAS NOT WORKING AT THE TIME OF ROUND 6 INTERVIEW,1. YES,,,,,,,,,,,,,"5. BUYING & SELLING GOODS, REPAIR OF GOODS, HOTELS & RESTAURANTS",1. In your own non-farm business,,36,2. NFE WAS OPERATING AT ROUND 6,,1. Open,,,,,,3. Less than in September,96. OTHER (SPECIFY),because the weather was not favourable,2. NO,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,2. NO,3. Not too worried,1,0,0,0,0,0,0,0,0,,1. A substantial threat,2. NO,,,,,,,,,,1. YES,1. Gap has widened,1,0,0,0,0,0,0,0,0,1,0,0,1. COMPLETE,701,5. IGBO,,,0,2020-11-08T07:54:27
4. South East,1. Abia,102. ABA SOUTH,1. Urban,1690,10060,2,7380.989385946556,9108.90826189495,5. TUBE WELL/BOREHOLE,,"1. YES, AT LEAST ONCE",4. SHOPS HAVE RUN OUT OF STOCK,,5. TUBE WELL/BOREHOLE,,1. YES,,,1. YES,,,1. All of the time,1. All of the time,2. TWO,2. RESPONDENT WAS NOT WORKING AT THE TIME OF ROUND 6 INTERVIEW,1. YES,,,,,,,,,,,,,"5. BUYING & SELLING GOODS, REPAIR OF GOODS, HOTELS & RESTAURANTS",1. In your own non-farm business,,54,2. NFE WAS OPERATING AT ROUND 6,,1. Open,,,,,,1. Higher than in September,,,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,2. NO,2. Somewhat worried,,,,,,,,,,,1. A substantial threat,1. YES,2. NO,,,,,,,,,1. YES,1. Gap has widened,1,0,0,0,0,0,0,0,1,0,0,0,1. COMPLETE,1,5. IGBO,,,2,2020-11-07T16:36:18
